Temperatura do ar ambiente,Rotação do motor - RPM,Carga calculada do motor,Ajuste de combustível de longo prazo - Banco 1,Temperatura do ar admitido - ACT,Temperatura do líquido de arrefecimento do motor - CTS,Ajuste de combustível de curto prazo - Banco 1,"Sonda lambda - Banco 1, sensor 2",Pressão barométrica,Tensão do módulo,Posição relativa da borboleta - TPS,Posição absoluta da borboleta - TPS,Posição absoluta da borboleta - Sensor B,"Sonda lambda - Banco 1, sensor 1","Ajuste de combustível de curto prazo - Banco 1, sensor 1",Pressão no coletor de admissão - MAP,Estado do sistema de combustível,Carga absoluta do motor,Nº de falhas na memória,Altitude
32 °C,709 rpm,21 %,0 %,35 °C,63 °C,4 %,0.44 V,970 mbar,14.15 V,1 %,11 %,11 %,0.09 V,5 %,310 mbar,Malha fechada null,18 %,0 null,177 m
32 °C,708 rpm,21 %,0 %,35 °C,63 °C,5 %,0.44 V,970 mbar,14.15 V,1 %,11 %,11 %,0.71 V,3 %,310 mbar,Malha fechada null,18 %,0 null,177 m
32 °C,705 rpm,21 %,0 %,35 °C,63 °C,2 %,0.44 V,970 mbar,14.24 V,1 %,11 %,11 %,0.65 V,2 %,310 mbar,Malha fechada null,18 %,0 null,177 m
32 °C,716 rpm,21 %,0 %,35 °C,63 °C,4 %,0.44 V,970 mbar,14.24 V,1 %,11 %,11 %,0.11 V,4 %,310 mbar,Malha fechada null,18 %,0 null,177 m
32 °C,704 rpm,21 %,0 %,35 °C,63 °C,5 %,0.44 V,970 mbar,14.05 V,1 %,11 %,11 %,0.67 V,3 %,310 mbar,Malha fechada null,17 %,0 null,177 m
32 °C,710 rpm,21 %,0 %,35 °C,63 °C,3 %,0.44 V,970 mbar,14.24 V,1 %,11 %,11 %,0.67 V,2 %,310 mbar,Malha fechada null,18 %,0 null,177 m
32 °C,709 rpm,21 %,0 %,35 °C,63 °C,4 %,0.44 V,970 mbar,14.24 V,1 %,11 %,11 %,0.10 V,5 %,310 mbar,Malha fechada null,18 %,0 null,177 m
32 °C,716 rpm,21 %,0 %,35 °C,63 °C,5 %,0.44 V,970 mbar,14.24 V,1 %,11 %,11 %,0.66 V,3 %,310 mbar,Malha fechada null,18 %,0 null,177 m
32 °C,704 rpm,21 %,0 %,35 °C,63 °C,2 %,0.44 V,970 mbar,14.24 V,1 %,11 %,11 %,0.59 V,2 %,310 mbar,Malha fechada null,18 %,0 null,177 m
32 °C,707 rpm,21 %,0 %,35 °C,63 °C,4 %,0.44 V,970 mbar,14.24 V,1 %,11 %,11 %,0.09 V,4 %,310 mbar,Malha fechada null,18 %,0 null,177 m
32 °C,704 rpm,22 %,0 %,35 °C,64 °C,5 %,0.44 V,970 mbar,14.24 V,1 %,11 %,11 %,0.18 V,5 %,310 mbar,Malha fechada null,18 %,0 null,177 m
32 °C,703 rpm,22 %,0 %,35 °C,64 °C,3 %,0.44 V,970 mbar,14.15 V,1 %,11 %,11 %,0.69 V,3 %,310 mbar,Malha fechada null,18 %,0 null,177 m
32 °C,708 rpm,21 %,0 %,35 °C,64 °C,2 %,0.44 V,970 mbar,14.15 V,1 %,11 %,11 %,0.33 V,4 %,310 mbar,Malha fechada null,17 %,0 null,177 m
32 °C,716 rpm,21 %,0 %,35 °C,64 °C,5 %,0.44 V,970 mbar,14.24 V,1 %,11 %,11 %,0.68 V,2 %,310 mbar,Malha fechada null,17 %,0 null,177 m
32 °C,704 rpm,21 %,0 %,35 °C,64 °C,2 %,0.44 V,970 mbar,14.24 V,1 %,11 %,11 %,0.66 V,2 %,310 mbar,Malha fechada null,17 %,0 null,177 m
32 °C,708 rpm,21 %,0 %,35 °C,64 °C,4 %,0.44 V,970 mbar,14.24 V,1 %,11 %,11 %,0.09 V,4 %,310 mbar,Malha fechada null,18 %,0 null,177 m
32 °C,708 rpm,21 %,0 %,35 °C,64 °C,5 %,0.44 V,970 mbar,14.15 V,1 %,11 %,11 %,0.61 V,3 %,310 mbar,Malha fechada null,18 %,0 null,177 m
32 °C,714 rpm,22 %,0 %,35 °C,64 °C,2 %,0.44 V,970 mbar,14.24 V,1 %,11 %,11 %,0.61 V,2 %,310 mbar,Malha fechada null,18 %,0 null,177 m
32 °C,709 rpm,22 %,0 %,36 °C,64 °C,2 %,0.44 V,970 mbar,14.15 V,1 %,11 %,11 %,0.09 V,4 %,310 mbar,Malha fechada null,18 %,0 null,177 m
32 °C,714 rpm,21 %,0 %,36 °C,64 °C,4 %,0.44 V,970 mbar,14.24 V,1 %,11 %,11 %,0.21 V,5 %,310 mbar,Malha fechada null,18 %,0 null,177 m
32 °C,711 rpm,21 %,0 %,36 °C,64 °C,3 %,0.44 V,970 mbar,14.24 V,1 %,11 %,11 %,0.70 V,2 %,310 mbar,Malha fechada null,17 %,0 null,177 m
32 °C,712 rpm,21 %,0 %,36 °C,65 °C,2 %,0.44 V,970 mbar,14.24 V,1 %,11 %,11 %,0.60 V,2 %,310 mbar,Malha fechada null,17 %,0 null,177 m
32 °C,715 rpm,21 %,0 %,36 °C,65 °C,3 %,0.44 V,970 mbar,14.24 V,1 %,11 %,11 %,0.09 V,4 %,310 mbar,Malha fechada null,18 %,0 null,177 m
32 °C,711 rpm,21 %,0 %,36 °C,65 °C,4 %,0.44 V,970 mbar,14.15 V,1 %,11 %,11 %,0.11 V,5 %,310 mbar,Malha fechada null,17 %,0 null,177 m
32 °C,711 rpm,21 %,0 %,36 °C,65 °C,5 %,0.44 V,970 mbar,14.15 V,1 %,11 %,11 %,0.59 V,4 %,310 mbar,Malha fechada null,17 %,0 null,177 m
32 °C,717 rpm,21 %,0 %,36 °C,65 °C,3 %,,,,,,,,,,,,,177 m
,713 rpm,,0 %,,66 °C,4 %,,,,1 %,,,,,,,,,177 m
,710 rpm,,0 %,,66 °C,5 %,,,,1 %,,,,,,,,,177 m
,707 rpm,,0 %,,66 °C,5 %,,,,1 %,,,,,,,,,177 m
,711 rpm,,0 %,,66 °C,5 %,,,,1 %,,,,,,,,,177 m
,713 rpm,,0 %,,66 °C,3 %,,,,1 %,,,,,,,,,177 m
,713 rpm,,0 %,,66 °C,3 %,,,,1 %,,,,,,,,,177 m
,711 rpm,,0 %,,66 °C,2 %,,,,1 %,,,,,,,,,177 m
,706 rpm,,0 %,,66 °C,2 %,,,,1 %,,,,,,,,,177 m
,703 rpm,,0 %,,66 °C,2 %,,,,1 %,,,,,,,,,177 m
,705 rpm,,0 %,,66 °C,2 %,,,,1 %,,,,,,,,,177 m
,712 rpm,,0 %,,66 °C,2 %,,,,1 %,,,,,,,,,177 m
,708 rpm,,0 %,,66 °C,2 %,,,,1 %,,,,,,,,,177 m
,700 rpm,,0 %,,66 °C,2 %,,,,1 %,,,,,,,,,177 m
,703 rpm,,0 %,,66 °C,3 %,,,,1 %,,,,,,,,,177 m
,707 rpm,,0 %,,66 °C,3 %,,,,1 %,,,,,,,,,177 m
,715 rpm,,0 %,,66 °C,4 %,,,,1 %,,,,,,,,,177 m
,711 rpm,,0 %,,66 °C,4 %,,,,1 %,,,,,,,,,177 m
,709 rpm,,0 %,,66 °C,4 %,,,,1 %,,,,,,,,,177 m
,708 rpm,,0 %,,66 °C,5 %,,,,1 %,,,,,,,,,177 m
,712 rpm,,0 %,,66 °C,5 %,,,,1 %,,,,,,,,,177 m
,714 rpm,,0 %,,66 °C,3 %,,,,1 %,,,,,,,,,177 m
,712 rpm,,0 %,,66 °C,3 %,,,,1 %,,,,,,,,,177 m
,708 rpm,,0 %,,66 °C,2 %,,,,1 %,,,,,,,,,177 m
,702 rpm,,0 %,,66 °C,2 %,,,,1 %,,,,,,,,,177 m
,708 rpm,,0 %,,66 °C,2 %,,,,1 %,,,,,,,,,177 m
,708 rpm,,0 %,,66 °C,4 %,,,,1 %,,,,,,,,,177 m
,705 rpm,,0 %,,66 °C,4 %,,,,1 %,,,,,,,,,177 m
,707 rpm,,0 %,,66 °C,4 %,,,,1 %,,,,,,,,,177 m
,708 rpm,,0 %,,66 °C,5 %,,,,1 %,,,,,,,,,177 m
,715 rpm,,0 %,,66 °C,5 %,,,,1 %,,,,,,,,,177 m
,713 rpm,,0 %,,66 °C,5 %,,,,1 %,,,,,,,,,177 m
,709 rpm,,0 %,,66 °C,3 %,,,,1 %,,,,,,,,,177 m
,711 rpm,,0 %,,66 °C,3 %,,,,1 %,,,,,,,,,177 m
,709 rpm,,0 %,,66 °C,2 %,,,,1 %,,,,,,,,,177 m
,711 rpm,,0 %,,66 °C,2 %,,,,1 %,,,,,,,,,177 m
,706 rpm,,0 %,,66 °C,2 %,,,,1 %,,,,,,,,,177 m
,707 rpm,,0 %,,66 °C,4 %,,,,1 %,,,,,,,,,177 m
,702 rpm,,0 %,,66 °C,4 %,,,,1 %,,,,,,,,,177 m
,715 rpm,,0 %,,66 °C,4 %,,,,1 %,,,,,,,,,177 m
,718 rpm,,0 %,,65 °C,5 %,,,,1 %,,,,,,,,,177 m
,707 rpm,,0 %,,65 °C,5 %,,,,1 %,,,,,,,,,177 m
,709 rpm,,0 %,,65 °C,3 %,,,,1 %,,,,,,,,,177 m
,709 rpm,,0 %,,66 °C,3 %,,,,1 %,,,,,,,,,177 m
,713 rpm,,0 %,,66 °C,2 %,,,,1 %,,,,,,,,,177 m
,707 rpm,,0 %,,65 °C,2 %,,,,1 %,,,,,,,,,177 m
,707 rpm,,0 %,,65 °C,2 %,,,,1 %,,,,,,,,,177 m
,710 rpm,,0 %,,65 °C,4 %,,,,1 %,,,,,,,,,177 m
,712 rpm,,0 %,,65 °C,4 %,,,,1 %,,,,,,,,,177 m
,709 rpm,,0 %,,65 °C,5 %,,,,1 %,,,,,,,,,177 m
,705 rpm,,0 %,,66 °C,5 %,,,,1 %,,,,,,,,,177 m
,711 rpm,,0 %,,65 °C,3 %,,,,1 %,,,,,,,,,177 m
,711 rpm,,0 %,,66 °C,2 %,,,,1 %,,,,,,,,,177 m
,712 rpm,,0 %,,66 °C,2 %,,,,1 %,,,,,,,,,177 m
,718 rpm,,0 %,,66 °C,2 %,,,,1 %,,,,,,,,,177 m
,711 rpm,,0 %,,66 °C,2 %,,,,1 %,,,,,,,,,177 m
,716 rpm,,0 %,,66 °C,2 %,,,,1 %,,,,,,,,,177 m
,713 rpm,,0 %,,66 °C,3 %,,,,1 %,,,,,,,,,177 m
,714 rpm,,0 %,,66 °C,3 %,,,,1 %,,,,,,,,,177 m
,711 rpm,,0 %,,66 °C,4 %,,,,1 %,,,,,,,,,177 m
,708 rpm,,0 %,,66 °C,4 %,,,,1 %,,,,,,,,,177 m
,705 rpm,,0 %,,66 °C,4 %,,,,1 %,,,,,,,,,177 m
,708 rpm,,0 %,,66 °C,5 %,,,,1 %,,,,,,,,,177 m
,715 rpm,,0 %,,66 °C,5 %,,,,1 %,,,,,,,,,177 m
,710 rpm,,0 %,,66 °C,3 %,,,,1 %,,,,,,,,,177 m
,705 rpm,,0 %,,66 °C,2 %,,,,1 %,,,,,,,,,177 m
,707 rpm,,0 %,,66 °C,2 %,,,,1 %,,,,,,,,,177 m
,716 rpm,,0 %,,66 °C,2 %,,,,1 %,,,,,,,,,177 m
,712 rpm,,0 %,,66 °C,4 %,,,,5 %,,,,,,,,,177 m
,718 rpm,,0 %,,66 °C,4 %,,,,20 %,,,,,,,,,177 m
,997 rpm,,0 %,,66 °C,2 %,,,,20 %,,,,,,,,,177 m
,1362 rpm,,0 %,,66 °C,5 %,,,,28 %,,,,,,,,,177 m
,2277 rpm,,0 %,,66 °C,7 %,,,,32 %,,,,,,,,,177 m
,3365 rpm,,0 %,,66 °C,5 %,,,,3 %,,,,,,,,,177 m
,3239 rpm,,0 %,,66 °C,4 %,,,,3 %,,,,,,,,,177 m
,2889 rpm,,0 %,,66 °C,0 %,,,,4 %,,,,,,,,,177 m
,2524 rpm,,0 %,,66 °C,0 %,,,,4 %,,,,,,,,,177 m
,2179 rpm,,0 %,,65 °C,0 %,,,,3 %,,,,,,,,,177 m
,1839 rpm,,0 %,,65 °C,0 %,,,,2 %,,,,,,,,,177 m
,1663 rpm,,0 %,,65 °C,0 %,,,,28 %,,,,,,,,,177 m
,2667 rpm,,0 %,,64 °C,0 %,,,,45 %,,,,,,,,,177 m
,3973 rpm,,0 %,,64 °C,0 %,,,,4 %,,,,,,,,,177 m
,3819 rpm,,0 %,,63 °C,0 %,,,,4 %,,,,,,,,,177 m
,3453 rpm,,0 %,,63 °C,0 %,,,,5 %,,,,,,,,,177 m
,3068 rpm,,0 %,,63 °C,0 %,,,,5 %,,,,,,,,,177 m
,2695 rpm,,0 %,,63 °C,0 %,,,,4 %,,,,,,,,,177 m
,2506 rpm,,0 %,,62 °C,0 %,,,,4 %,,,,,,,,,177 m
,2164 rpm,,0 %,,62 °C,0 %,,,,3 %,,,,,,,,,177 m
,1824 rpm,,0 %,,62 °C,0 %,,,,1 %,,,,,,,,,177 m
,1511 rpm,,0 %,,62 °C,0 %,,,,2 %,,,,,,,,,177 m
,1465 rpm,,0 %,,62 °C,0 %,,,,2 %,,,,,,,,,177 m
,1395 rpm,,0 %,,62 °C,0 %,,,,2 %,,,,,,,,,177 m
,1328 rpm,,0 %,,63 °C,0 %,,,,2 %,,,,,,,,,177 m
,1266 rpm,,0 %,,63 °C,1 %,,,,2 %,,,,,,,,,177 m
,1207 rpm,,0 %,,63 °C,0 %,,,,2 %,,,,,,,,,177 m
,1149 rpm,,0 %,,63 °C,0 %,,,,2 %,,,,,,,,,177 m
,1102 rpm,,0 %,,63 °C,0 %,,,,2 %,,,,,,,,,177 m
,1072 rpm,,0 %,,64 °C,0 %,,,,2 %,,,,,,,,,177 m
,1053 rpm,,0 %,,64 °C,0 %,,,,2 %,,,,,,,,,177 m
,1021 rpm,,0 %,,64 °C,0 %,,,,2 %,,,,,,,,,177 m
,983 rpm,,0 %,,64 °C,0 %,,,,2 %,,,,,,,,,177 m
,959 rpm,,0 %,,64 °C,0 %,,,,2 %,,,,,,,,,177 m
,933 rpm,,0 %,,65 °C,0 %,,,,2 %,,,,,,,,,177 m
,907 rpm,,0 %,,65 °C,0 %,,,,2 %,,,,,,,,,177 m
,890 rpm,,0 %,,65 °C,0 %,,,,2 %,,,,,,,,,177 m
,860 rpm,,0 %,,66 °C,0 %,,,,1 %,,,,,,,,,177 m
,846 rpm,,0 %,,66 °C,0 %,,,,1 %,,,,,,,,,177 m
,819 rpm,,0 %,,66 °C,0 %,,,,1 %,,,,,,,,,177 m
,793 rpm,,0 %,,66 °C,0 %,,,,1 %,,,,,,,,,177 m
,782 rpm,,0 %,,66 °C,0 %,,,,1 %,,,,,,,,,177 m
,763 rpm,,0 %,,66 °C,0 %,,,,1 %,,,,,,,,,177 m
,752 rpm,,0 %,,66 °C,0 %,,,,1 %,,,,,,,,,177 m
,744 rpm,,0 %,,66 °C,0 %,,,,1 %,,,,,,,,,177 m
,733 rpm,,0 %,,66 °C,0 %,,,,1 %,,,,,,,,,177 m
,731 rpm,,0 %,,66 °C,0 %,,,,1 %,,,,,,,,,177 m
,734 rpm,,0 %,,66 °C,0 %,,,,1 %,,,,,,,,,177 m
,724 rpm,,,,,,,,,,,,,,,,,,177 m
32 °C,700 rpm,,,,,,,,,,,,,,,,,,177 m
32 °C,702 rpm,22 %,0 %,36 °C,68 °C,3 %,0.15 V,970 mbar,14.24 V,1 %,11 %,11 %,0.10 V,3 %,320 mbar,Malha fechada null,18 %,0 null,177 m
32 °C,706 rpm,22 %,0 %,36 °C,68 °C,2 %,0.13 V,970 mbar,14.24 V,1 %,11 %,11 %,0.69 V,2 %,320 mbar,Malha fechada null,18 %,0 null,177 m
32 °C,689 rpm,22 %,0 %,36 °C,68 °C,1 %,0.16 V,970 mbar,14.24 V,1 %,11 %,11 %,0.26 V,2 %,320 mbar,Malha fechada null,18 %,0 null,177 m
32 °C,698 rpm,22 %,0 %,36 °C,69 °C,3 %,0.11 V,970 mbar,14.24 V,1 %,11 %,11 %,0.10 V,3 %,320 mbar,Malha fechada null,18 %,0 null,177 m
32 °C,702 rpm,22 %,0 %,36 °C,69 °C,4 %,0.11 V,970 mbar,14.24 V,1 %,12 %,11 %,0.69 V,2 %,320 mbar,Malha fechada null,18 %,0 null,177 m
32 °C,708 rpm,22 %,0 %,36 °C,69 °C,2 %,0.13 V,970 mbar,14.15 V,1 %,11 %,11 %,0.67 V,2 %,320 mbar,Malha fechada null,18 %,0 null,177 m
32 °C,705 rpm,22 %,0 %,36 °C,69 °C,3 %,0.11 V,970 mbar,14.15 V,1 %,11 %,11 %,0.10 V,3 %,320 mbar,Malha fechada null,18 %,0 null,177 m
32 °C,707 rpm,21 %,0 %,36 °C,69 °C,4 %,0.10 V,970 mbar,14.15 V,1 %,12 %,11 %,0.71 V,2 %,320 mbar,Malha fechada null,18 %,0 null,177 m
32 °C,703 rpm,22 %,0 %,36 °C,69 °C,2 %,0.14 V,970 mbar,14.15 V,1 %,11 %,11 %,0.69 V,1 %,320 mbar,Malha fechada null,18 %,0 null,177 m
32 °C,692 rpm,22 %,0 %,36 °C,69 °C,2 %,0.10 V,970 mbar,14.15 V,1 %,11 %,11 %,0.11 V,3 %,320 mbar,Malha fechada null,18 %,0 null,177 m
32 °C,699 rpm,21 %,0 %,36 °C,70 °C,3 %,0.09 V,970 mbar,14.24 V,1 %,11 %,11 %,0.65 V,4 %,310 mbar,Malha fechada null,18 %,0 null,177 m
32 °C,706 rpm,21 %,0 %,36 °C,70 °C,2 %,0.12 V,970 mbar,14.24 V,1 %,11 %,11 %,0.68 V,1 %,320 mbar,Malha fechada null,18 %,0 null,177 m
32 °C,705 rpm,22 %,0 %,36 °C,70 °C,2 %,0.10 V,970 mbar,14.24 V,1 %,11 %,11 %,0.09 V,3 %,320 mbar,Malha fechada null,18 %,0 null,177 m
32 °C,696 rpm,22 %,0 %,36 °C,70 °C,4 %,0.08 V,970 mbar,14.24 V,1 %,11 %,11 %,0.11 V,4 %,320 mbar,Malha fechada null,18 %,0 null,177 m
32 °C,699 rpm,22 %,0 %,36 °C,70 °C,2 %,0.09 V,970 mbar,14.15 V,1 %,11 %,11 %,0.70 V,2 %,320 mbar,Malha fechada null,18 %,0 null,177 m
32 °C,693 rpm,22 %,0 %,36 °C,70 °C,2 %,0.13 V,970 mbar,14.05 V,1 %,11 %,11 %,0.68 V,2 %,320 mbar,Malha fechada null,18 %,0 null,177 m
32 °C,697 rpm,22 %,0 %,36 °C,70 °C,3 %,0.10 V,970 mbar,14.05 V,1 %,11 %,11 %,0.12 V,3 %,320 mbar,Malha fechada null,18 %,0 null,177 m
32 °C,688 rpm,22 %,0 %,36 °C,70 °C,4 %,0.09 V,970 mbar,14.15 V,1 %,11 %,11 %,0.67 V,2 %,320 mbar,Malha fechada null,18 %,0 null,177 m
32 °C,691 rpm,22 %,0 %,36 °C,70 °C,2 %,0.11 V,970 mbar,14.24 V,1 %,11 %,11 %,0.68 V,2 %,320 mbar,Malha fechada null,18 %,0 null,177 m
32 °C,687 rpm,22 %,0 %,36 °C,70 °C,1 %,0.14 V,970 mbar,14.24 V,1 %,11 %,11 %,0.33 V,2 %,320 mbar,Malha fechada null,18 %,0 null,177 m
32 °C,694 rpm,22 %,0 %,36 °C,70 °C,3 %,0.09 V,970 mbar,14.24 V,1 %,11 %,11 %,0.11 V,3 %,320 mbar,Malha fechada null,18 %,0 null,177 m
32 °C,689 rpm,22 %,0 %,36 °C,71 °C,4 %,0.09 V,970 mbar,14.05 V,1 %,11 %,11 %,0.70 V,4 %,320 mbar,Malha fechada null,18 %,0 null,177 m
32 °C,679 rpm,22 %,0 %,36 °C,70 °C,2 %,0.12 V,970 mbar,14.15 V,1 %,11 %,11 %,0.71 V,2 %,320 mbar,Malha fechada null,18 %,0 null,177 m
32 °C,680 rpm,22 %,0 %,36 °C,71 °C,1 %,0.15 V,970 mbar,14.24 V,1 %,11 %,11 %,0.51 V,1 %,320 mbar,Malha fechada null,18 %,0 null,177 m
32 °C,689 rpm,22 %,0 %,36 °C,70 °C,2 %,0.09 V,970 mbar,14.05 V,1 %,11 %,11 %,0.10 V,3 %,320 mbar,Malha fechada null,18 %,0 null,177 m
32 °C,684 rpm,22 %,0 %,36 °C,70 °C,4 %,0.08 V,970 mbar,14.15 V,1 %,11 %,11 %,0.15 V,4 %,320 mbar,Malha fechada null,18 %,0 null,177 m
32 °C,692 rpm,22 %,0 %,36 °C,70 °C,4 %,0.10 V,970 mbar,14.24 V,1 %,11 %,11 %,0.73 V,2 %,320 mbar,Malha fechada null,18 %,0 null,177 m
32 °C,697 rpm,22 %,0 %,36 °C,71 °C,2 %,0.14 V,970 mbar,14.15 V,1 %,11 %,11 %,0.74 V,2 %,310 mbar,Malha fechada null,18 %,0 null,177 m
32 °C,696 rpm,21 %,0 %,36 °C,71 °C,1 %,0.17 V,970 mbar,14.24 V,1 %,11 %,11 %,0.69 V,1 %,310 mbar,Malha fechada null,17 %,0 null,177 m
32 °C,699 rpm,21 %,0 %,36 °C,71 °C,0 %,0.20 V,970 mbar,14.24 V,1 %,11 %,11 %,0.10 V,2 %,310 mbar,Malha fechada null,18 %,0 null,177 m
32 °C,692 rpm,21 %,0 %,36 °C,71 °C,2 %,0.09 V,970 mbar,14.24 V,1 %,11 %,11 %,0.11 V,3 %,320 mbar,Malha fechada null,18 %,0 null,177 m
32 °C,699 rpm,21 %,0 %,36 °C,71 °C,4 %,0.09 V,970 mbar,14.15 V,1 %,11 %,11 %,0.61 V,4 %,320 mbar,Malha fechada null,18 %,0 null,177 m
32 °C,686 rpm,22 %,0 %,36 °C,71 °C,2 %,0.10 V,970 mbar,14.15 V,1 %,11 %,11 %,0.70 V,2 %,320 mbar,Malha fechada null,18 %,0 null,177 m
32 °C,684 rpm,21 %,0 %,36 °C,72 °C,1 %,0.12 V,970 mbar,14.15 V,1 %,11 %,11 %,0.61 V,1 %,310 mbar,Malha fechada null,18 %,0 null,177 m
32 °C,689 rpm,21 %,0 %,36 °C,71 °C,2 %,0.09 V,970 mbar,14.24 V,1 %,11 %,11 %,0.10 V,3 %,310 mbar,Malha fechada null,18 %,0 null,177 m
32 °C,694 rpm,21 %,0 %,36 °C,72 °C,3 %,0.09 V,970 mbar,14.05 V,1 %,11 %,11 %,0.68 V,4 %,310 mbar,Malha fechada null,17 %,0 null,177 m
32 °C,687 rpm,21 %,0 %,36 °C,72 °C,2 %,0.13 V,970 mbar,14.05 V,1 %,11 %,11 %,0.72 V,2 %,310 mbar,Malha fechada null,17 %,0 null,177 m
32 °C,683 rpm,21 %,0 %,36 °C,72 °C,1 %,0.17 V,970 mbar,14.15 V,1 %,11 %,11 %,0.70 V,1 %,310 mbar,Malha fechada null,17 %,0 null,177 m
32 °C,695 rpm,21 %,0 %,36 °C,72 °C,0 %,0.16 V,970 mbar,14.15 V,1 %,11 %,11 %,0.12 V,2 %,310 mbar,Malha fechada null,17 %,0 null,177 m
32 °C,683 rpm,21 %,0 %,36 °C,72 °C,2 %,0.10 V,970 mbar,14.15 V,1 %,11 %,11 %,0.10 V,3 %,310 mbar,Malha fechada null,17 %,0 null,177 m
32 °C,690 rpm,21 %,0 %,36 °C,72 °C,3 %,0.09 V,970 mbar,14.24 V,1 %,11 %,11 %,0.70 V,3 %,310 mbar,Malha fechada null,17 %,0 null,177 m
32 °C,688 rpm,21 %,0 %,36 °C,72 °C,2 %,0.13 V,970 mbar,14.15 V,1 %,11 %,11 %,0.74 V,2 %,310 mbar,Malha fechada null,17 %,0 null,177 m
32 °C,686 rpm,21 %,0 %,36 °C,72 °C,1 %,0.18 V,970 mbar,14.15 V,1 %,11 %,11 %,0.26 V,2 %,310 mbar,Malha fechada null,17 %,0 null,177 m
32 °C,688 rpm,21 %,0 %,36 °C,72 °C,3 %,0.09 V,970 mbar,14.05 V,1 %,11 %,11 %,0.11 V,3 %,310 mbar,Malha fechada null,18 %,0 null,177 m
32 °C,697 rpm,21 %,0 %,36 °C,72 °C,3 %,0.09 V,970 mbar,14.24 V,1 %,11 %,11 %,0.26 V,4 %,310 mbar,Malha fechada null,18 %,0 null,177 m
32 °C,699 rpm,21 %,0 %,36 °C,72 °C,4 %,0.11 V,970 mbar,14.24 V,1 %,11 %,11 %,0.72 V,2 %,310 mbar,Malha fechada null,18 %,0 null,177 m
32 °C,694 rpm,21 %,0 %,36 °C,72 °C,2 %,0.15 V,970 mbar,14.24 V,1 %,11 %,11 %,0.71 V,2 %,310 mbar,Malha fechada null,18 %,0 null,177 m
32 °C,687 rpm,21 %,0 %,36 °C,72 °C,1 %,0.16 V,970 mbar,14.15 V,1 %,11 %,11 %,0.17 V,2 %,310 mbar,Malha fechada null,18 %,0 null,177 m
32 °C,696 rpm,21 %,0 %,36 °C,72 °C,3 %,0.08 V,970 mbar,14.05 V,1 %,11 %,11 %,0.10 V,3 %,310 mbar,Malha fechada null,17 %,0 null,177 m
