"Sonda lambda - Banco 1, sensor 1","Ajuste de combustível de curto prazo - Banco 1, sensor 1","Sonda lambda - Banco 1, sensor 2",Pressão barométrica,Estado do sistema de combustível,Carga calculada do motor,Temperatura do líquido de arrefecimento do motor - CTS,Ajuste de combustível de curto prazo - Banco 1,Ajuste de combustível de longo prazo - Banco 1,Pressão no coletor de admissão - MAP,Tensão do módulo,Rotação do motor - RPM,Carga absoluta do motor,Posição relativa da borboleta - TPS,Temperatura do ar admitido - ACT,Temperatura do ar ambiente,Posição absoluta da borboleta - Sensor B,Posição absoluta da borboleta - TPS,Nº de falhas na memória,Altitude
0.68 V,-2 %,0.09 V,,,22 %,87 °C,,,,,656 rpm,,,,,,,,2 m
0.65 V,-2 %,0.08 V,,,22 %,87 °C,,,,,665 rpm,,,,,,,,2 m
0.61 V,-3 %,0.07 V,,,22 %,87 °C,,,,,663 rpm,,,,,,,,2 m
0.59 V,-3 %,0.07 V,,,22 %,87 °C,,,,,633 rpm,,,,,,,,2 m
0.29 V,-2 %,0.07 V,,,22 %,87 °C,,,,,661 rpm,,,,,,,,2 m
0.09 V,-2 %,0.07 V,,,22 %,87 °C,,,,,672 rpm,,,,,,,,2 m
0.09 V,-2 %,0.07 V,,,22 %,87 °C,,,,,672 rpm,,,,,,,,2 m
0.08 V,-1 %,0.06 V,,,22 %,87 °C,,,,,669 rpm,,,,,,,,2 m
0.08 V,-1 %,0.06 V,,,22 %,87 °C,,,,,645 rpm,,,,,,,,2 m
0.08 V,0 %,0.06 V,,,22 %,87 °C,,,,,674 rpm,,,,,,,,2 m
0.09 V,0 %,0.07 V,,,22 %,87 °C,,,,,676 rpm,,,,,,,,2 m
0.08 V,0 %,0.07 V,,,23 %,87 °C,,,,,652 rpm,,,,,,,,2 m
0.09 V,1 %,0.07 V,,,24 %,87 °C,,,,,657 rpm,,,,,,,,2 m
0.10 V,1 %,0.07 V,,,24 %,87 °C,,,,,665 rpm,,,,,,,,2 m
0.10 V,1 %,0.07 V,,,23 %,87 °C,,,,,663 rpm,,,,,,,,2 m
0.13 V,2 %,0.08 V,,,23 %,87 °C,,,,,653 rpm,,,,,,,,2 m
0.66 V,2 %,0.09 V,,,22 %,87 °C,,,,,649 rpm,,,,,,,,2 m
0.70 V,2 %,0.09 V,,,22 %,87 °C,,,,,673 rpm,,,,,,,,2 m
0.70 V,2 %,0.09 V,,,22 %,87 °C,,,,,676 rpm,,,,,,,,2 m
0.71 V,2 %,0.09 V,,,22 %,87 °C,,,,,656 rpm,,,,,,,,2 m
0.71 V,2 %,0.15 V,,,22 %,87 °C,,,,,648 rpm,,,,,,,,2 m
0.72 V,2 %,0.22 V,,,22 %,87 °C,,,,,673 rpm,,,,,,,,2 m
0.75 V,2 %,0.62 V,,,23 %,87 °C,,,,,660 rpm,,,,,,,,2 m
0.76 V,0 %,0.66 V,,,23 %,87 °C,,,,,649 rpm,,,,,,,,2 m
0.77 V,-1 %,0.67 V,,,23 %,87 °C,,,,,653 rpm,,,,,,,,2 m
0.77 V,-1 %,0.66 V,,,23 %,87 °C,,,,,664 rpm,,,,,,,,2 m
0.76 V,-2 %,0.64 V,,,23 %,87 °C,,,,,654 rpm,,,,,,,,2 m
0.75 V,-2 %,0.54 V,,,23 %,87 °C,,,,,630 rpm,,,,,,,,2 m
0.73 V,-2 %,0.12 V,,,22 %,87 °C,,,,,649 rpm,,,,,,,,2 m
0.69 V,-2 %,0.08 V,,,22 %,87 °C,,,,,668 rpm,,,,,,,,2 m
0.65 V,-2 %,0.08 V,,,22 %,87 °C,,,,,646 rpm,,,,,,,,2 m
0.60 V,-2 %,0.07 V,,,23 %,87 °C,,,,,644 rpm,,,,,,,,2 m
0.50 V,-3 %,0.07 V,,,23 %,87 °C,,,,,659 rpm,,,,,,,,2 m
0.15 V,-1 %,0.07 V,,,23 %,87 °C,,,,,669 rpm,,,,,,,,2 m
0.09 V,-1 %,0.07 V,,,22 %,87 °C,,,,,663 rpm,,,,,,,,2 m
0.09 V,-1 %,0.07 V,,,22 %,87 °C,,,,,647 rpm,,,,,,,,2 m
0.08 V,0 %,0.07 V,,,22 %,87 °C,,,,,650 rpm,,,,,,,,2 m
0.08 V,0 %,0.07 V,,,22 %,87 °C,,,,,672 rpm,,,,,,,,2 m
0.09 V,0 %,0.07 V,,,23 %,87 °C,,,,,678 rpm,,,,,,,,2 m
0.09 V,1 %,0.07 V,,,23 %,87 °C,,,,,664 rpm,,,,,,,,2 m
0.09 V,1 %,0.08 V,,,23 %,87 °C,,,,,666 rpm,,,,,,,,2 m
0.12 V,2 %,0.08 V,,,22 %,87 °C,,,,,661 rpm,,,,,,,,2 m
0.21 V,2 %,0.09 V,,,22 %,87 °C,,,,,658 rpm,,,,,,,,2 m
0.65 V,2 %,0.09 V,,,22 %,87 °C,,,,,669 rpm,,,,,,,,2 m
0.67 V,2 %,0.09 V,,,22 %,87 °C,,,,,663 rpm,,,,,,,,2 m
0.68 V,2 %,0.09 V,,,22 %,87 °C,,,,,665 rpm,,,,,,,,2 m
0.68 V,2 %,0.10 V,,,22 %,87 °C,,,,,658 rpm,,,,,,,,2 m
0.70 V,2 %,0.11 V,,,22 %,87 °C,,,,,665 rpm,,,,,,,,2 m
0.70 V,2 %,0.14 V,,,22 %,87 °C,,,,,651 rpm,,,,,,,,2 m
0.73 V,2 %,0.58 V,,,22 %,87 °C,,,,,653 rpm,,,,,,,,2 m
0.74 V,0 %,0.65 V,,,22 %,87 °C,,,,,669 rpm,,,,,,,,2 m
0.75 V,-1 %,0.67 V,,,22 %,87 °C,,,,,666 rpm,,,,,,,,2 m
0.76 V,-1 %,0.69 V,,,22 %,87 °C,,,,,647 rpm,,,,,,,,2 m
0.76 V,-1 %,0.68 V,,,22 %,87 °C,,,,,662 rpm,,,,,,,,2 m
0.76 V,-2 %,0.67 V,,,22 %,87 °C,,,,,670 rpm,,,,,,,,2 m
0.75 V,-2 %,0.66 V,,,22 %,87 °C,,,,,665 rpm,,,,,,,,2 m
0.73 V,-2 %,0.62 V,,,22 %,87 °C,,,,,655 rpm,,,,,,,,2 m
0.72 V,-2 %,0.53 V,,,22 %,87 °C,,,,,635 rpm,,,,,,,,2 m
0.70 V,-2 %,0.34 V,,,22 %,87 °C,,,,,661 rpm,,,,,,,,2 m
0.66 V,-2 %,0.11 V,,,22 %,87 °C,,,,,649 rpm,,,,,,,,2 m
0.62 V,-2 %,0.08 V,,,22 %,87 °C,,,,,654 rpm,,,,,,,,2 m
0.54 V,-3 %,0.08 V,,,22 %,88 °C,,,,,668 rpm,,,,,,,,2 m
0.22 V,-1 %,0.07 V,,,22 %,87 °C,,,,,661 rpm,,,,,,,,2 m
0.10 V,-1 %,0.07 V,,,22 %,87 °C,,,,,649 rpm,,,,,,,,2 m
0.09 V,-1 %,0.07 V,,,22 %,88 °C,,,,,650 rpm,,,,,,,,2 m
0.09 V,-1 %,0.07 V,,,22 %,88 °C,,,,,662 rpm,,,,,,,,2 m
0.08 V,0 %,0.07 V,,,22 %,88 °C,,,,,669 rpm,,,,,,,,2 m
0.09 V,0 %,0.07 V,,,22 %,87 °C,,,,,671 rpm,,,,,,,,2 m
0.09 V,0 %,0.07 V,,,22 %,88 °C,,,,,653 rpm,,,,,,,,2 m
0.09 V,1 %,0.07 V,,,22 %,88 °C,,,,,653 rpm,,,,,,,,2 m
0.09 V,1 %,0.07 V,,,22 %,88 °C,,,,,663 rpm,,,,,,,,2 m
0.10 V,1 %,0.08 V,,,22 %,88 °C,,,,,653 rpm,,,,,,,,2 m
0.10 V,2 %,0.08 V,,,22 %,88 °C,,,,,646 rpm,,,,,,,,2 m
0.13 V,2 %,0.08 V,,,22 %,88 °C,,,,,663 rpm,,,,,,,,2 m
0.45 V,2 %,0.09 V,,,22 %,88 °C,,,,,669 rpm,,,,,,,,2 m
0.68 V,2 %,0.10 V,,,22 %,88 °C,,,,,661 rpm,,,,,,,,2 m
0.69 V,2 %,0.11 V,,,22 %,88 °C,,,,,651 rpm,,,,,,,,2 m
0.71 V,2 %,0.13 V,,,22 %,88 °C,,,,,658 rpm,,,,,,,,2 m
0.72 V,2 %,0.18 V,,,22 %,88 °C,,,,,659 rpm,,,,,,,,2 m
0.72 V,2 %,0.40 V,,,22 %,88 °C,,,,,667 rpm,,,,,,,,2 m
0.73 V,2 %,0.63 V,,,22 %,88 °C,,,,,662 rpm,,,,,,,,2 m
0.75 V,0 %,0.67 V,,,22 %,88 °C,,,,,661 rpm,,,,,,,,2 m
0.75 V,0 %,0.68 V,,,22 %,88 °C,,,,,654 rpm,,,,,,,,2 m
0.75 V,-1 %,0.68 V,,,22 %,88 °C,,,,,660 rpm,,,,,,,,2 m
0.75 V,-1 %,0.68 V,,,22 %,88 °C,,,,,664 rpm,,,,,,,,2 m
0.75 V,-1 %,0.68 V,,,22 %,88 °C,,,,,661 rpm,,,,,,,,2 m
0.75 V,-2 %,0.66 V,,,22 %,88 °C,,,,,657 rpm,,,,,,,,2 m
0.74 V,-2 %,0.63 V,,,22 %,88 °C,,,,,663 rpm,,,,,,,,2 m
0.72 V,-2 %,0.56 V,,,22 %,88 °C,,,,,664 rpm,,,,,,,,2 m
0.69 V,-2 %,0.34 V,,,22 %,88 °C,,,,,665 rpm,,,,,,,,2 m
0.68 V,-2 %,0.18 V,,,22 %,88 °C,,,,,666 rpm,,,,,,,,2 m
0.67 V,-2 %,0.11 V,,,22 %,89 °C,,,,,658 rpm,,,,,,,,2 m
0.65 V,-2 %,0.09 V,,,22 %,88 °C,,,,,660 rpm,,,,,,,,2 m
