"Sonda lambda - Banco 1, sensor 1","Ajuste de combustível de curto prazo - Banco 1, sensor 1","Sonda lambda - Banco 1, sensor 2",Pressão barométrica,Estado do sistema de combustível,Carga calculada do motor,Temperatura do líquido de arrefecimento do motor - CTS,Ajuste de combustível de curto prazo - Banco 1,Ajuste de combustível de longo prazo - Banco 1,Pressão no coletor de admissão - MAP,Tensão do módulo,Rotação do motor - RPM,Carga absoluta do motor,Posição relativa da borboleta - TPS,Temperatura do ar admitido - ACT,Temperatura do ar ambiente,Posição absoluta da borboleta - Sensor B,Posição absoluta da borboleta - TPS,Nº de falhas na memória,Altitude
0.65 V,-2 %,0.45 V,1010 mbar,Malha fechada null,30 %,24 °C,-2 %,1 %,390 mbar,13.02 V,1393 rpm,27 %,4 %,21 °C,21 °C,15 %,15 %,0 null,19 m
0.64 V,-4 %,0.45 V,1010 mbar,Malha fechada null,30 %,24 °C,-5 %,1 %,390 mbar,13.21 V,1378 rpm,27 %,4 %,21 °C,21 °C,15 %,15 %,0 null,19 m
0.43 V,0 %,0.45 V,1010 mbar,Malha fechada null,30 %,24 °C,1 %,1 %,390 mbar,13.11 V,1396 rpm,27 %,4 %,21 °C,21 °C,15 %,15 %,0 null,19 m
0.66 V,-2 %,0.45 V,1010 mbar,Malha fechada null,29 %,24 °C,-2 %,1 %,380 mbar,13.30 V,1390 rpm,27 %,4 %,21 °C,21 °C,15 %,15 %,0 null,19 m
0.65 V,-4 %,0.45 V,1010 mbar,Malha fechada null,29 %,25 °C,-5 %,1 %,390 mbar,13.30 V,1381 rpm,27 %,4 %,21 °C,21 °C,15 %,15 %,0 null,19 m
0.63 V,-6 %,0.45 V,1010 mbar,Malha fechada null,29 %,25 °C,-7 %,1 %,380 mbar,13.30 V,1390 rpm,27 %,4 %,21 °C,21 °C,15 %,15 %,0 null,19 m
0.46 V,-3 %,0.45 V,1010 mbar,Malha fechada null,29 %,25 °C,-2 %,1 %,380 mbar,13.39 V,1395 rpm,27 %,4 %,21 °C,21 °C,15 %,15 %,0 null,19 m
0.66 V,-2 %,0.45 V,1010 mbar,Malha fechada null,29 %,26 °C,-2 %,1 %,380 mbar,13.49 V,1390 rpm,27 %,4 %,21 °C,21 °C,15 %,15 %,0 null,19 m
0.66 V,-5 %,0.45 V,1010 mbar,Malha fechada null,29 %,26 °C,-5 %,1 %,390 mbar,13.49 V,1378 rpm,27 %,4 %,21 °C,21 °C,15 %,15 %,0 null,19 m
0.61 V,-7 %,0.45 V,1010 mbar,Malha fechada null,29 %,26 °C,-8 %,1 %,380 mbar,13.77 V,1383 rpm,27 %,4 %,21 °C,21 °C,15 %,15 %,0 null,19 m
0.64 V,-3 %,0.45 V,1010 mbar,Malha fechada null,29 %,27 °C,-5 %,1 %,380 mbar,13.77 V,1390 rpm,27 %,4 %,21 °C,21 °C,15 %,15 %,0 null,19 m
0.54 V,-7 %,0.45 V,1010 mbar,Malha fechada null,29 %,27 °C,-3 %,1 %,380 mbar,13.87 V,1396 rpm,27 %,4 %,21 °C,21 °C,15 %,15 %,0 null,19 m
0.60 V,-2 %,0.45 V,1010 mbar,Malha fechada null,30 %,27 °C,-2 %,1 %,390 mbar,13.77 V,1389 rpm,27 %,4 %,21 °C,21 °C,15 %,15 %,0 null,19 m
0.65 V,-5 %,0.45 V,1010 mbar,Malha fechada null,28 %,27 °C,-6 %,1 %,360 mbar,13.87 V,1411 rpm,25 %,4 %,21 °C,21 °C,15 %,14 %,0 null,19 m
0.67 V,-8 %,0.45 V,1010 mbar,Malha fechada null,25 %,27 °C,-9 %,1 %,330 mbar,13.87 V,1406 rpm,23 %,4 %,21 °C,21 °C,14 %,14 %,0 null,19 m
0.66 V,-11 %,0.45 V,1010 mbar,Malha fechada null,24 %,27 °C,-11 %,1 %,320 mbar,13.77 V,1401 rpm,22 %,4 %,21 °C,21 °C,14 %,14 %,0 null,19 m
0.65 V,-11 %,0.45 V,1010 mbar,Malha fechada null,23 %,27 °C,-11 %,1 %,310 mbar,13.87 V,1401 rpm,21 %,4 %,21 °C,21 °C,14 %,14 %,0 null,19 m
0.66 V,-12 %,0.45 V,1010 mbar,Malha fechada null,23 %,28 °C,-12 %,1 %,310 mbar,13.77 V,1391 rpm,21 %,4 %,21 °C,21 °C,14 %,14 %,0 null,19 m
0.67 V,-12 %,0.45 V,1010 mbar,Malha fechada null,23 %,28 °C,-12 %,1 %,310 mbar,13.87 V,1389 rpm,21 %,4 %,21 °C,21 °C,14 %,14 %,0 null,19 m
0.65 V,-12 %,0.45 V,1010 mbar,Malha fechada null,23 %,28 °C,-12 %,1 %,310 mbar,13.77 V,1380 rpm,21 %,3 %,21 °C,21 °C,14 %,14 %,0 null,19 m
0.59 V,-12 %,0.45 V,1010 mbar,Malha fechada null,23 %,28 °C,-12 %,1 %,310 mbar,13.96 V,1359 rpm,21 %,4 %,21 °C,21 °C,14 %,14 %,0 null,19 m
0.34 V,-9 %,0.45 V,1010 mbar,Malha fechada null,23 %,29 °C,-9 %,1 %,310 mbar,13.87 V,1325 rpm,21 %,3 %,21 °C,21 °C,14 %,13 %,0 null,19 m
0.79 V,-7 %,0.45 V,1010 mbar,Malha fechada null,22 %,29 °C,-7 %,1 %,300 mbar,13.87 V,1318 rpm,20 %,3 %,21 °C,21 °C,14 %,13 %,0 null,19 m
0.81 V,-9 %,0.45 V,1010 mbar,Malha fechada null,22 %,29 °C,-10 %,1 %,310 mbar,13.87 V,1290 rpm,20 %,3 %,21 °C,21 °C,13 %,13 %,0 null,19 m
0.75 V,-12 %,0.45 V,1010 mbar,Malha fechada null,22 %,29 °C,-12 %,1 %,300 mbar,13.96 V,1269 rpm,20 %,3 %,21 °C,21 °C,13 %,13 %,0 null,19 m
0.79 V,-13 %,0.45 V,1010 mbar,Malha fechada null,22 %,30 °C,-13 %,1 %,300 mbar,13.87 V,1237 rpm,20 %,3 %,21 °C,21 °C,13 %,13 %,0 null,19 m
0.25 V,-11 %,0.45 V,1010 mbar,Malha fechada null,22 %,30 °C,-10 %,1 %,310 mbar,13.87 V,1215 rpm,20 %,3 %,21 °C,21 °C,13 %,13 %,0 null,19 m
0.09 V,-9 %,0.44 V,1010 mbar,Malha fechada null,22 %,30 °C,-9 %,1 %,300 mbar,13.87 V,1187 rpm,20 %,3 %,21 °C,21 °C,13 %,13 %,0 null,19 m
0.78 V,-8 %,0.45 V,1010 mbar,Malha fechada null,21 %,30 °C,-8 %,1 %,300 mbar,13.87 V,1171 rpm,19 %,3 %,21 °C,21 °C,13 %,13 %,0 null,19 m
0.80 V,-10 %,0.45 V,1010 mbar,Malha fechada null,22 %,30 °C,-10 %,1 %,300 mbar,13.87 V,1138 rpm,19 %,3 %,21 °C,21 °C,13 %,13 %,0 null,19 m
0.19 V,-9 %,0.45 V,1010 mbar,Malha fechada null,22 %,30 °C,-9 %,1 %,300 mbar,13.87 V,1117 rpm,19 %,3 %,21 °C,21 °C,13 %,13 %,0 null,19 m
0.07 V,-8 %,0.45 V,1010 mbar,Malha fechada null,22 %,30 °C,-7 %,1 %,300 mbar,13.87 V,1096 rpm,19 %,2 %,21 °C,21 °C,13 %,13 %,0 null,19 m
0.06 V,-6 %,0.45 V,1010 mbar,Malha fechada null,22 %,30 °C,-5 %,1 %,310 mbar,13.87 V,1060 rpm,19 %,2 %,21 °C,21 °C,13 %,13 %,0 null,19 m
0.06 V,-5 %,0.44 V,1010 mbar,Malha fechada null,21 %,30 °C,-5 %,1 %,300 mbar,13.87 V,1056 rpm,19 %,2 %,21 °C,21 °C,13 %,13 %,0 null,19 m
0.09 V,-3 %,0.45 V,1010 mbar,Malha fechada null,21 %,31 °C,-3 %,1 %,310 mbar,13.87 V,1025 rpm,19 %,2 %,21 °C,21 °C,13 %,13 %,0 null,19 m
0.64 V,-2 %,0.45 V,1010 mbar,Malha fechada null,22 %,31 °C,-2 %,1 %,310 mbar,13.87 V,982 rpm,19 %,2 %,21 °C,21 °C,13 %,13 %,0 null,19 m
0.20 V,0 %,0.45 V,1010 mbar,Malha fechada null,22 %,31 °C,0 %,1 %,310 mbar,13.87 V,962 rpm,19 %,2 %,21 °C,21 °C,13 %,13 %,0 null,19 m
0.74 V,0 %,0.45 V,1010 mbar,Malha fechada null,22 %,31 °C,-2 %,1 %,320 mbar,13.87 V,939 rpm,20 %,2 %,21 °C,21 °C,13 %,13 %,0 null,19 m
0.64 V,-2 %,0.45 V,1010 mbar,Malha fechada null,22 %,31 °C,-1 %,1 %,310 mbar,13.87 V,925 rpm,19 %,2 %,21 °C,21 °C,13 %,12 %,0 null,19 m
0.14 V,0 %,0.45 V,1010 mbar,Malha fechada null,22 %,31 °C,0 %,1 %,310 mbar,13.96 V,909 rpm,19 %,2 %,21 °C,21 °C,13 %,12 %,0 null,19 m
0.77 V,0 %,0.45 V,1010 mbar,Malha fechada null,22 %,31 °C,-2 %,1 %,320 mbar,13.87 V,900 rpm,19 %,2 %,21 °C,21 °C,13 %,12 %,0 null,19 m
0.71 V,-2 %,0.45 V,1010 mbar,Malha fechada null,22 %,32 °C,-3 %,1 %,320 mbar,13.87 V,891 rpm,19 %,2 %,21 °C,21 °C,13 %,12 %,0 null,19 m
0.08 V,-2 %,0.44 V,1010 mbar,Malha fechada null,22 %,32 °C,-1 %,1 %,320 mbar,13.96 V,890 rpm,19 %,2 %,21 °C,21 °C,13 %,12 %,0 null,19 m
0.08 V,0 %,0.45 V,1010 mbar,Malha fechada null,22 %,32 °C,0 %,1 %,320 mbar,13.87 V,893 rpm,19 %,2 %,21 °C,21 °C,13 %,12 %,0 null,19 m
0.09 V,2 %,0.45 V,1010 mbar,Malha fechada null,22 %,32 °C,2 %,1 %,320 mbar,13.87 V,896 rpm,19 %,2 %,21 °C,21 °C,13 %,12 %,0 null,19 m
0.16 V,2 %,0.45 V,1010 mbar,Malha fechada null,22 %,32 °C,3 %,1 %,320 mbar,13.77 V,890 rpm,19 %,2 %,21 °C,21 °C,13 %,12 %,0 null,19 m
0.75 V,3 %,0.45 V,1010 mbar,Malha fechada null,22 %,32 °C,1 %,1 %,320 mbar,13.87 V,898 rpm,19 %,2 %,21 °C,21 °C,13 %,12 %,0 null,19 m
0.76 V,0 %,0.45 V,1010 mbar,Malha fechada null,22 %,32 °C,0 %,1 %,320 mbar,13.87 V,890 rpm,19 %,2 %,21 °C,21 °C,13 %,12 %,0 null,19 m
0.66 V,-1 %,0.45 V,1010 mbar,Malha fechada null,22 %,32 °C,-2 %,1 %,320 mbar,13.87 V,887 rpm,19 %,2 %,21 °C,21 °C,13 %,12 %,0 null,19 m
0.09 V,1 %,0.45 V,1010 mbar,Malha fechada null,22 %,33 °C,1 %,1 %,320 mbar,13.87 V,891 rpm,19 %,2 %,21 °C,21 °C,13 %,12 %,0 null,19 m
0.10 V,2 %,0.44 V,1010 mbar,Malha fechada null,22 %,33 °C,2 %,1 %,320 mbar,13.87 V,877 rpm,19 %,2 %,21 °C,21 °C,13 %,12 %,0 null,19 m
0.65 V,3 %,0.45 V,1010 mbar,Malha fechada null,22 %,33 °C,3 %,1 %,320 mbar,13.87 V,888 rpm,19 %,2 %,21 °C,21 °C,13 %,12 %,0 null,19 m
0.70 V,1 %,0.45 V,1010 mbar,Malha fechada null,22 %,33 °C,1 %,1 %,320 mbar,13.87 V,873 rpm,19 %,2 %,21 °C,21 °C,13 %,12 %,0 null,19 m
0.70 V,0 %,0.45 V,1010 mbar,Malha fechada null,22 %,33 °C,0 %,1 %,320 mbar,13.87 V,877 rpm,19 %,2 %,21 °C,21 °C,13 %,12 %,0 null,19 m
0.16 V,2 %,0.45 V,1010 mbar,Malha fechada null,22 %,33 °C,2 %,1 %,320 mbar,13.96 V,874 rpm,19 %,2 %,21 °C,21 °C,13 %,12 %,0 null,19 m
0.09 V,2 %,0.44 V,1010 mbar,Malha fechada null,22 %,33 °C,2 %,1 %,320 mbar,13.96 V,889 rpm,19 %,2 %,21 °C,21 °C,13 %,12 %,0 null,19 m
0.13 V,4 %,0.45 V,1010 mbar,Malha fechada null,22 %,33 °C,4 %,1 %,320 mbar,13.87 V,882 rpm,19 %,2 %,21 °C,21 °C,13 %,12 %,0 null,19 m
0.74 V,4 %,0.45 V,1010 mbar,Malha fechada null,22 %,33 °C,4 %,1 %,310 mbar,13.87 V,888 rpm,19 %,2 %,21 °C,21 °C,13 %,12 %,0 null,19 m
0.75 V,2 %,0.45 V,1010 mbar,Malha fechada null,22 %,33 °C,1 %,1 %,320 mbar,13.87 V,870 rpm,19 %,2 %,21 °C,21 °C,13 %,12 %,0 null,19 m
0.70 V,1 %,0.45 V,1010 mbar,Malha fechada null,22 %,33 °C,0 %,1 %,320 mbar,13.96 V,875 rpm,19 %,2 %,21 °C,21 °C,12 %,12 %,0 null,19 m
0.11 V,2 %,0.45 V,1010 mbar,Malha fechada null,22 %,33 °C,2 %,1 %,320 mbar,13.87 V,872 rpm,19 %,2 %,21 °C,21 °C,13 %,12 %,0 null,19 m
0.80 V,2 %,0.45 V,1010 mbar,Malha fechada null,22 %,33 °C,2 %,1 %,320 mbar,13.87 V,843 rpm,19 %,2 %,21 °C,21 °C,13 %,12 %,0 null,19 m
0.90 V,1 %,0.45 V,1010 mbar,Malha fechada null,22 %,33 °C,1 %,1 %,320 mbar,13.87 V,897 rpm,20 %,2 %,21 °C,21 °C,13 %,12 %,0 null,19 m
0.89 V,0 %,0.45 V,1010 mbar,Malha fechada null,22 %,33 °C,-1 %,1 %,320 mbar,13.87 V,870 rpm,19 %,2 %,21 °C,21 °C,13 %,12 %,0 null,19 m
0.88 V,-2 %,0.45 V,1010 mbar,Malha fechada null,22 %,33 °C,-2 %,1 %,310 mbar,13.77 V,883 rpm,19 %,2 %,21 °C,21 °C,13 %,12 %,0 null,19 m
0.83 V,-2 %,0.45 V,1010 mbar,Malha fechada null,20 %,33 °C,-3 %,1 %,300 mbar,13.96 V,865 rpm,18 %,2 %,21 °C,21 °C,12 %,12 %,0 null,19 m
0.77 V,-4 %,0.45 V,1010 mbar,Malha fechada null,21 %,33 °C,-4 %,1 %,310 mbar,13.87 V,868 rpm,18 %,2 %,21 °C,21 °C,12 %,12 %,0 null,19 m
0.84 V,-5 %,0.45 V,1010 mbar,Malha fechada null,23 %,34 °C,-5 %,1 %,370 mbar,13.87 V,681 rpm,23 %,3 %,21 °C,21 °C,14 %,13 %,0 null,19 m
0.89 V,-5 %,0.45 V,1010 mbar,Malha fechada null,39 %,34 °C,-6 %,1 %,610 mbar,13.11 V,623 rpm,54 %,8 %,21 °C,21 °C,15 %,15 %,0 null,19 m
0.86 V,-8 %,0.45 V,1010 mbar,Malha fechada null,39 %,34 °C,-9 %,1 %,400 mbar,13.96 V,1416 rpm,27 %,3 %,21 °C,21 °C,14 %,13 %,0 null,19 m
0.83 V,-11 %,0.45 V,1010 mbar,Malha fechada null,23 %,34 °C,-11 %,1 %,320 mbar,14.05 V,1186 rpm,21 %,3 %,21 °C,21 °C,14 %,13 %,0 null,19 m
