Temperatura do ar ambiente,Rotação do motor - RPM,Carga calculada do motor,Ajuste de combustível de longo prazo - Banco 1,Temperatura do ar admitido - ACT,Temperatura do líquido de arrefecimento do motor - CTS,Ajuste de combustível de curto prazo - Banco 1,"Sonda lambda - Banco 1, sensor 2",Pressão barométrica,Tensão do módulo,Posição relativa da borboleta - TPS,Posição absoluta da borboleta - TPS,Posição absoluta da borboleta - Sensor B,"Sonda lambda - Banco 1, sensor 1","Ajuste de combustível de curto prazo - Banco 1, sensor 1",Pressão no coletor de admissão - MAP,Estado do sistema de combustível,Carga absoluta do motor,Nº de falhas na memória,Altitude
,2861 rpm,19 %,,,46 °C,,,,,,,,,,,,,,845 m
,2879 rpm,18 %,,,46 °C,,,,,,,,,,,,,,845 m
,2881 rpm,18 %,,,46 °C,,,,,,,,,,,,,,845 m
,2881 rpm,18 %,,,46 °C,,,,,,,,,,,,,,845 m
,2877 rpm,17 %,,,46 °C,,,,,,,,,,,,,,845 m
,2871 rpm,17 %,,,47 °C,,,,,,,,,,,,,,845 m
,2864 rpm,17 %,,,47 °C,,,,,,,,,,,,,,845 m
,2863 rpm,18 %,,,47 °C,,,,,,,,,,,,,,845 m
,2853 rpm,17 %,,,47 °C,,,,,,,,,,,,,,845 m
,2835 rpm,18 %,,,47 °C,,,,,,,,,,,,,,845 m
,2826 rpm,18 %,,,47 °C,,,,,,,,,,,,,,845 m
,2811 rpm,18 %,,,47 °C,,,,,,,,,,,,,,845 m
,2802 rpm,18 %,,,47 °C,,,,,,,,,,,,,,845 m
,2792 rpm,18 %,,,47 °C,,,,,,,,,,,,,,845 m
,2780 rpm,18 %,,,47 °C,,,,,,,,,,,,,,845 m
,2767 rpm,18 %,,,47 °C,,,,,,,,,,,,,,845 m
,2744 rpm,21 %,,,47 °C,,,,,,,,,,,,,,845 m
,2741 rpm,28 %,,,47 °C,,,,,,,,,,,,,,845 m
,2747 rpm,33 %,,,47 °C,,,,,,,,,,,,,,845 m
,2683 rpm,28 %,,,47 °C,,,,,,,,,,,,,,845 m
,2730 rpm,19 %,,,47 °C,,,,,,,,,,,,,,845 m
,2768 rpm,21 %,,,47 °C,,,,,,,,,,,,,,845 m
,2815 rpm,37 %,,,47 °C,,,,,,,,,,,,,,845 m
,2875 rpm,22 %,,,47 °C,,,,,,,,,,,,,,845 m
,2911 rpm,15 %,,,47 °C,,,,,,,,,,,,,,845 m
,2879 rpm,24 %,,,47 °C,,,,,,,,,,,,,,845 m
,2910 rpm,30 %,,,47 °C,,,,,,,,,,,,,,845 m
,2957 rpm,16 %,,,47 °C,,,,,,,,,,,,,,845 m
,2899 rpm,14 %,,,47 °C,,,,,,,,,,,,,,845 m
,2633 rpm,27 %,,,47 °C,,,,,,,,,,,,,,845 m
,2705 rpm,34 %,,,47 °C,,,,,,,,,,,,,,845 m
,2793 rpm,19 %,,,47 °C,,,,,,,,,,,,,,845 m
,2838 rpm,15 %,,,47 °C,,,,,,,,,,,,,,845 m
,2810 rpm,16 %,,,47 °C,,,,,,,,,,,,,,845 m
,2741 rpm,32 %,,,48 °C,,,,,,,,,,,,,,845 m
,2762 rpm,47 %,,,48 °C,,,,,,,,,,,,,,845 m
,2779 rpm,61 %,,,48 °C,,,,,,,,,,,,,,845 m
,3076 rpm,64 %,,,48 °C,,,,,,,,,,,,,,845 m
,3474 rpm,67 %,,,48 °C,,,,,,,,,,,,,,845 m
,3902 rpm,78 %,,,48 °C,,,,,,,,,,,,,,845 m
,4788 rpm,31 %,,,48 °C,,,,,,,,,,,,,,845 m
,4630 rpm,13 %,,,48 °C,,,,,,,,,,,,,,845 m
,4374 rpm,10 %,,,48 °C,,,,,,,,,,,,,,845 m
,4131 rpm,9 %,,,48 °C,,,,,,,,,,,,,,845 m
,3901 rpm,16 %,,,48 °C,,,,,,,,,,,,,,845 m
,3761 rpm,25 %,,,48 °C,,,,,,,,,,,,,,845 m
,3737 rpm,16 %,,,48 °C,,,,,,,,,,,,,,845 m
,3618 rpm,11 %,,,48 °C,,,,,,,,,,,,,,845 m
,3396 rpm,9 %,,,48 °C,,,,,,,,,,,,,,845 m
,3182 rpm,28 %,,,48 °C,,,,,,,,,,,,,,845 m
,3147 rpm,46 %,,,48 °C,,,,,,,,,,,,,,845 m
,3086 rpm,51 %,,,48 °C,,,,,,,,,,,,,,845 m
,3370 rpm,51 %,,,48 °C,,,,,,,,,,,,,,845 m
,3574 rpm,49 %,,,48 °C,,,,,,,,,,,,,,845 m
,3817 rpm,46 %,,,48 °C,,,,,,,,,,,,,,845 m
,4035 rpm,17 %,,,48 °C,,,,,,,,,,,,,,845 m
,4013 rpm,11 %,,,48 °C,,,,,,,,,,,,,,845 m
,3789 rpm,9 %,,,48 °C,,,,,,,,,,,,,,845 m
,3344 rpm,11 %,,,48 °C,,,,,,,,,,,,,,845 m
,3161 rpm,20 %,,,48 °C,,,,,,,,,,,,,,845 m
,3177 rpm,33 %,,,48 °C,,,,,,,,,,,,,,845 m
,3085 rpm,45 %,,,48 °C,,,,,,,,,,,,,,845 m
,3051 rpm,50 %,,,48 °C,,,,,,,,,,,,,,845 m
,3074 rpm,50 %,,,48 °C,,,,,,,,,,,,,,845 m
,3246 rpm,49 %,,,48 °C,,,,,,,,,,,,,,845 m
,3678 rpm,47 %,,,48 °C,,,,,,,,,,,,,,845 m
,3883 rpm,34 %,,,48 °C,,,,,,,,,,,,,,845 m
,3888 rpm,15 %,,,48 °C,,,,,,,,,,,,,,845 m
,3673 rpm,9 %,,,48 °C,,,,,,,,,,,,,,845 m
,3452 rpm,9 %,,,48 °C,,,,,,,,,,,,,,845 m
,3243 rpm,18 %,,,48 °C,,,,,,,,,,,,,,845 m
,3042 rpm,38 %,,,48 °C,,,,,,,,,,,,,,845 m
,2948 rpm,57 %,,,48 °C,,,,,,,,,,,,,,845 m
,3030 rpm,60 %,,,48 °C,,,,,,,,,,,,,,845 m
,3369 rpm,58 %,,,48 °C,,,,,,,,,,,,,,845 m
,3736 rpm,55 %,,,48 °C,,,,,,,,,,,,,,845 m
,4066 rpm,20 %,,,48 °C,,,,,,,,,,,,,,845 m
,4013 rpm,11 %,,,48 °C,,,,,,,,,,,,,,845 m
,3787 rpm,9 %,,,48 °C,,,,,,,,,,,,,,845 m
,3572 rpm,9 %,,,48 °C,,,,,,,,,,,,,,845 m
,3367 rpm,9 %,,,48 °C,,,,,,,,,,,,,,845 m
,3159 rpm,11 %,,,48 °C,,,,,,,,,,,,,,845 m
,2846 rpm,17 %,,,48 °C,,,,,,,,,,,,,,845 m
,2837 rpm,20 %,,,48 °C,,,,,,,,,,,,,,845 m
,2849 rpm,22 %,,,48 °C,,,,,,,,,,,,,,845 m
,2854 rpm,23 %,,,48 °C,,,,,,,,,,,,,,845 m
,2868 rpm,24 %,,,48 °C,,,,,,,,,,,,,,845 m
,2885 rpm,24 %,,,48 °C,,,,,,,,,,,,,,845 m
,2908 rpm,24 %,,,49 °C,,,,,,,,,,,,,,845 m
,2964 rpm,24 %,,,49 °C,,,,,,,,,,,,,,845 m
,2999 rpm,23 %,,,49 °C,,,,,,,,,,,,,,845 m
,3032 rpm,23 %,,,49 °C,,,,,,,,,,,,,,845 m
,3066 rpm,23 %,,,49 °C,,,,,,,,,,,,,,845 m
,3092 rpm,23 %,,,49 °C,,,,,,,,,,,,,,845 m
,3153 rpm,23 %,,,49 °C,,,,,,,,,,,,,,845 m
,3179 rpm,23 %,,,49 °C,,,,,,,,,,,,,,845 m
,3209 rpm,22 %,,,49 °C,,,,,,,,,,,,,,845 m
,3240 rpm,22 %,,,49 °C,,,,,,,,,,,,,,845 m
,3269 rpm,22 %,,,49 °C,,,,,,,,,,,,,,845 m
,3300 rpm,22 %,,,49 °C,,,,,,,,,,,,,,845 m
,3352 rpm,22 %,,,49 °C,,,,,,,,,,,,,,845 m
,3378 rpm,21 %,,,49 °C,,,,,,,,,,,,,,845 m
,3404 rpm,21 %,,,49 °C,,,,,,,,,,,,,,845 m
,3425 rpm,21 %,,,49 °C,,,,,,,,,,,,,,845 m
,3440 rpm,20 %,,,49 °C,,,,,,,,,,,,,,845 m
,3460 rpm,20 %,,,49 °C,,,,,,,,,,,,,,845 m
,3480 rpm,20 %,,,49 °C,,,,,,,,,,,,,,845 m
,3503 rpm,18 %,,,49 °C,,,,,,,,,,,,,,845 m
,3430 rpm,11 %,,,49 °C,,,,,,,,,,,,,,845 m
,3234 rpm,10 %,,,49 °C,,,,,,,,,,,,,,845 m
,3020 rpm,9 %,,,50 °C,,,,,,,,,,,,,,845 m
,2836 rpm,9 %,,,50 °C,,,,,,,,,,,,,,845 m
,2646 rpm,10 %,,,50 °C,,,,,,,,,,,,,,845 m
,2329 rpm,14 %,,,50 °C,,,,,,,,,,,,,,845 m
,2298 rpm,19 %,,,50 °C,,,,,,,,,,,,,,845 m
,2289 rpm,22 %,,,50 °C,,,,,,,,,,,,,,845 m
,2286 rpm,18 %,,,50 °C,,,,,,,,,,,,,,845 m
,2220 rpm,12 %,,,50 °C,,,,,,,,,,,,,,845 m
,1952 rpm,9 %,,,50 °C,,,,,,,,,,,,,,845 m
,1798 rpm,9 %,,,50 °C,,,,,,,,,,,,,,845 m
,1605 rpm,11 %,,,50 °C,,,,,,,,,,,,,,845 m
,1522 rpm,49 %,,,50 °C,,,,,,,,,,,,,,845 m
,1569 rpm,79 %,,,50 °C,,,,,,,,,,,,,,845 m
,1437 rpm,78 %,,,50 °C,,,,,,,,,,,,,,845 m
,1666 rpm,78 %,,,50 °C,,,,,,,,,,,,,,845 m
,1749 rpm,49 %,,,50 °C,,,,,,,,,,,,,,845 m
,1608 rpm,37 %,,,50 °C,,,,,,,,,,,,,,845 m
,1660 rpm,27 %,,,50 °C,,,,,,,,,,,,,,845 m
,1682 rpm,76 %,,,50 °C,,,,,,,,,,,,,,845 m
,1813 rpm,76 %,,,50 °C,,,,,,,,,,,,,,845 m
,2238 rpm,75 %,,,50 °C,,,,,,,,,,,,,,845 m
,3079 rpm,51 %,,,50 °C,,,,,,,,,,,,,,845 m
,2923 rpm,28 %,,,50 °C,,,,,,,,,,,,,,845 m
,2888 rpm,16 %,,,50 °C,,,,,,,,,,,,,,845 m
,2708 rpm,14 %,,,50 °C,,,,,,,,,,,,,,845 m
,2537 rpm,12 %,,,50 °C,,,,,,,,,,,,,,845 m
,2352 rpm,13 %,,,51 °C,,,,,,,,,,,,,,845 m
,2152 rpm,73 %,,,51 °C,,,,,,,,,,,,,,845 m
,2197 rpm,77 %,,,51 °C,,,,,,,,,,,,,,845 m
,2462 rpm,76 %,,,51 °C,,,,,,,,,,,,,,845 m
,2725 rpm,75 %,,,51 °C,,,,,,,,,,,,,,845 m
,2712 rpm,31 %,,,51 °C,,,,,,,,,,,,,,845 m
,2688 rpm,20 %,,,51 °C,,,,,,,,,,,,,,845 m
,2585 rpm,16 %,,,51 °C,,,,,,,,,,,,,,845 m
,2410 rpm,13 %,,,51 °C,,,,,,,,,,,,,,845 m
,2041 rpm,13 %,,,51 °C,,,,,,,,,,,,,,845 m
,1915 rpm,75 %,,,51 °C,,,,,,,,,,,,,,845 m
,2071 rpm,76 %,,,51 °C,,,,,,,,,,,,,,845 m
,2409 rpm,76 %,,,51 °C,,,,,,,,,,,,,,845 m
,2750 rpm,74 %,,,51 °C,,,,,,,,,,,,,,845 m
,3027 rpm,75 %,,,51 °C,,,,,,,,,,,,,,845 m
,3168 rpm,25 %,,,51 °C,,,,,,,,,,,,,,845 m
,2984 rpm,17 %,,,51 °C,,,,,,,,,,,,,,845 m
,2804 rpm,14 %,,,51 °C,,,,,,,,,,,,,,845 m
,2614 rpm,12 %,,,51 °C,,,,,,,,,,,,,,845 m
,2407 rpm,12 %,,,51 °C,,,,,,,,,,,,,,845 m
,2239 rpm,13 %,,,51 °C,,,,,,,,,,,,,,845 m
,1873 rpm,12 %,,,51 °C,,,,,,,,,,,,,,845 m
,1691 rpm,12 %,,,51 °C,,,,,,,,,,,,,,845 m
,1519 rpm,67 %,,,51 °C,,,,,,,,,,,,,,845 m
,1606 rpm,77 %,,,51 °C,,,,,,,,,,,,,,845 m
,1766 rpm,76 %,,,51 °C,,,,,,,,,,,,,,845 m
,1855 rpm,76 %,,,51 °C,,,,,,,,,,,,,,845 m
,1738 rpm,43 %,,,51 °C,,,,,,,,,,,,,,845 m
,1760 rpm,32 %,,,51 °C,,,,,,,,,,,,,,845 m
,1739 rpm,25 %,,,51 °C,,,,,,,,,,,,,,845 m
,1571 rpm,20 %,,,51 °C,,,,,,,,,,,,,,845 m
,1398 rpm,75 %,,,51 °C,,,,,,,,,,,,,,845 m
,1388 rpm,77 %,,,51 °C,,,,,,,,,,,,,,845 m
,1828 rpm,75 %,,,51 °C,,,,,,,,,,,,,,845 m
,2246 rpm,75 %,,,51 °C,,,,,,,,,,,,,,845 m
,2270 rpm,38 %,,,51 °C,,,,,,,,,,,,,,845 m
,2267 rpm,25 %,,,51 °C,,,,,,,,,,,,,,845 m
,2215 rpm,17 %,,,51 °C,,,,,,,,,,,,,,845 m
,2036 rpm,15 %,,,51 °C,,,,,,,,,,,,,,845 m
,1844 rpm,14 %,,,51 °C,,,,,,,,,,,,,,845 m
,1691 rpm,13 %,,,51 °C,,,,,,,,,,,,,,845 m
,1337 rpm,17 %,,,51 °C,,,,,,,,,,,,,,845 m
,1159 rpm,75 %,,,51 °C,,,,,,,,,,,,,,845 m
,1493 rpm,78 %,,,51 °C,,,,,,,,,,,,,,845 m
,1548 rpm,75 %,,,51 °C,,,,,,,,,,,,,,845 m
,1606 rpm,50 %,,,51 °C,,,,,,,,,,,,,,845 m
,2062 rpm,31 %,,,52 °C,,,,,,,,,,,,,,845 m
,2247 rpm,27 %,,,52 °C,,,,,,,,,,,,,,845 m
,2342 rpm,19 %,,,52 °C,,,,,,,,,,,,,,845 m
,2181 rpm,14 %,,,52 °C,,,,,,,,,,,,,,845 m
,2013 rpm,11 %,,,52 °C,,,,,,,,,,,,,,845 m
,1845 rpm,11 %,,,52 °C,,,,,,,,,,,,,,845 m
,1658 rpm,11 %,,,52 °C,,,,,,,,,,,,,,845 m
,1485 rpm,11 %,,,52 °C,,,,,,,,,,,,,,845 m
,1291 rpm,16 %,,,52 °C,,,,,,,,,,,,,,845 m
,947 rpm,20 %,,,52 °C,,,,,,,,,,,,,,845 m
,822 rpm,24 %,,,52 °C,,,,,,,,,,,,,,845 m
,905 rpm,38 %,,,52 °C,,,,,,,,,,,,,,845 m
,1045 rpm,37 %,,,52 °C,,,,,,,,,,,,,,845 m
,1192 rpm,36 %,,,52 °C,,,,,,,,,,,,,,845 m
,1300 rpm,33 %,,,52 °C,,,,,,,,,,,,,,845 m
,1508 rpm,30 %,,,52 °C,,,,,,,,,,,,,,845 m
,1630 rpm,26 %,,,52 °C,,,,,,,,,,,,,,845 m
,1711 rpm,23 %,,,52 °C,,,,,,,,,,,,,,845 m
,1788 rpm,22 %,,,52 °C,,,,,,,,,,,,,,845 m
,1846 rpm,21 %,,,52 °C,,,,,,,,,,,,,,845 m
,1897 rpm,20 %,,,52 °C,,,,,,,,,,,,,,845 m
,1956 rpm,19 %,,,52 °C,,,,,,,,,,,,,,845 m
,1976 rpm,18 %,,,52 °C,,,,,,,,,,,,,,845 m
,1988 rpm,18 %,,,52 °C,,,,,,,,,,,,,,845 m
,1998 rpm,17 %,,,52 °C,,,,,,,,,,,,,,845 m
,2004 rpm,17 %,,,52 °C,,,,,,,,,,,,,,845 m
,2003 rpm,17 %,,,52 °C,,,,,,,,,,,,,,845 m
,2003 rpm,17 %,,,52 °C,,,,,,,,,,,,,,845 m
