"Sonda lambda - Banco 1, sensor 1","Ajuste de combustível de curto prazo - Banco 1, sensor 1","Sonda lambda - Banco 1, sensor 2",Pressão barométrica,Estado do sistema de combustível,Carga calculada do motor,Temperatura do líquido de arrefecimento do motor - CTS,Ajuste de combustível de curto prazo - Banco 1,Ajuste de combustível de longo prazo - Banco 1,Pressão no coletor de admissão - MAP,Tensão do módulo,Rotação do motor - RPM,Carga absoluta do motor,Posição relativa da borboleta - TPS,Temperatura do ar admitido - ACT,Temperatura do ar ambiente,Posição absoluta da borboleta - Sensor B,Posição absoluta da borboleta - TPS,Nº de falhas na memória,Altitude
,,,,,,30 °C,-2 %,2 %,,,1522 rpm,,8 %,,,,,,10 m
,,,,,,30 °C,-2 %,2 %,,,1640 rpm,,8 %,,,,,,10 m
,,,,,,30 °C,0 %,2 %,,,1795 rpm,,8 %,,,,,,10 m
,,,,,,30 °C,1 %,2 %,,,1972 rpm,,8 %,,,,,,10 m
,,,,,,30 °C,2 %,2 %,,,2177 rpm,,8 %,,,,,,10 m
,,,,,,30 °C,3 %,2 %,,,2351 rpm,,9 %,,,,,,10 m
,,,,,,30 °C,5 %,2 %,,,2431 rpm,,9 %,,,,,,10 m
,,,,,,30 °C,5 %,2 %,,,2578 rpm,,9 %,,,,,,10 m
,,,,,,30 °C,6 %,2 %,,,2684 rpm,,8 %,,,,,,10 m
,,,,,,30 °C,6 %,2 %,,,2687 rpm,,5 %,,,,,,10 m
,,,,,,30 °C,6 %,2 %,,,2521 rpm,,5 %,,,,,,10 m
,,,,,,30 °C,6 %,2 %,,,2373 rpm,,6 %,,,,,,10 m
,,,,,,30 °C,0 %,2 %,,,2001 rpm,,5 %,,,,,,10 m
,,,,,,30 °C,0 %,2 %,,,1926 rpm,,6 %,,,,,,10 m
,,,,,,30 °C,0 %,2 %,,,1853 rpm,,6 %,,,,,,10 m
,,,,,,30 °C,-1 %,2 %,,,1786 rpm,,6 %,,,,,,10 m
,,,,,,30 °C,-2 %,2 %,,,1724 rpm,,6 %,,,,,,10 m
,,,,,,30 °C,-2 %,2 %,,,1666 rpm,,6 %,,,,,,10 m
,,,,,,30 °C,-3 %,2 %,,,1625 rpm,,6 %,,,,,,10 m
,,,,,,30 °C,-4 %,2 %,,,1594 rpm,,6 %,,,,,,10 m
,,,,,,31 °C,-2 %,2 %,,,1550 rpm,,6 %,,,,,,10 m
,,,,,,31 °C,-2 %,2 %,,,1550 rpm,,8 %,,,,,,10 m
,,,,,,31 °C,-1 %,2 %,,,1638 rpm,,9 %,,,,,,10 m
,,,,,,31 °C,0 %,2 %,,,1790 rpm,,9 %,,,,,,10 m
,,,,,,31 °C,2 %,2 %,,,1999 rpm,,10 %,,,,,,10 m
,,,,,,31 °C,2 %,2 %,,,2277 rpm,,11 %,,,,,,10 m
,,,,,,31 °C,4 %,2 %,,,2566 rpm,,11 %,,,,,,10 m
,,,,,,31 °C,5 %,2 %,,,2873 rpm,,11 %,,,,,,10 m
,,,,,,31 °C,8 %,2 %,,,3117 rpm,,7 %,,,,,,10 m
,,,,,,31 °C,8 %,2 %,,,2828 rpm,,5 %,,,,,,10 m
,,,,,,31 °C,8 %,2 %,,,2548 rpm,,5 %,,,,,,10 m
,,,,,,31 °C,0 %,2 %,,,2189 rpm,,6 %,,,,,,10 m
,,,,,,31 °C,0 %,2 %,,,1976 rpm,,5 %,,,,,,10 m
,,,,,,31 °C,0 %,2 %,,,1859 rpm,,5 %,,,,,,10 m
,,,,,,31 °C,0 %,2 %,,,1811 rpm,,6 %,,,,,,10 m
,,,,,,32 °C,-1 %,2 %,,,1743 rpm,,6 %,,,,,,10 m
,,,,,,32 °C,-2 %,2 %,,,1682 rpm,,6 %,,,,,,10 m
,,,,,,32 °C,-2 %,2 %,,,1623 rpm,,6 %,,,,,,10 m
,,,,,,32 °C,-1 %,2 %,,,1568 rpm,,6 %,,,,,,10 m
,,,,,,32 °C,0 %,2 %,,,1524 rpm,,6 %,,,,,,10 m
,,,,,,32 °C,1 %,2 %,,,1485 rpm,,5 %,,,,,,10 m
,,,,,,32 °C,2 %,2 %,,,1437 rpm,,5 %,,,,,,10 m
,,,,,,32 °C,2 %,2 %,,,1412 rpm,,5 %,,,,,,10 m
,,,,,,32 °C,2 %,2 %,,,1369 rpm,,5 %,,,,,,10 m
,,,,,,32 °C,2 %,2 %,,,1342 rpm,,5 %,,,,,,10 m
,,,,,,32 °C,2 %,2 %,,,1315 rpm,,5 %,,,,,,10 m
,,,,,,32 °C,-1 %,2 %,,,1294 rpm,,5 %,,,,,,10 m
,,,,,,32 °C,-2 %,2 %,,,1268 rpm,,5 %,,,,,,10 m
,,,,,,32 °C,-2 %,2 %,,,1233 rpm,,5 %,,,,,,10 m
,,,,,,32 °C,-2 %,2 %,,,1226 rpm,,5 %,,,,,,10 m
,,,,,,32 °C,-3 %,2 %,,,1197 rpm,,5 %,,,,,,10 m
,,,,,,32 °C,-3 %,2 %,,,1177 rpm,,5 %,,,,,,10 m
,,,,,,32 °C,-4 %,2 %,,,1148 rpm,,5 %,,,,,,10 m
,,,,,,32 °C,-5 %,2 %,,,1115 rpm,,5 %,,,,,,10 m
,,,,,,32 °C,-2 %,2 %,,,1104 rpm,,5 %,,,,,,10 m
,,,,,,33 °C,-2 %,2 %,,,1087 rpm,,5 %,,,,,,10 m
,,,,,,33 °C,-1 %,2 %,,,1142 rpm,,6 %,,,,,,10 m
,,,,,,33 °C,-1 %,2 %,,,1273 rpm,,7 %,,,,,,10 m
,,,,,,33 °C,0 %,2 %,,,1443 rpm,,7 %,,,,,,10 m
,,,,,,33 °C,1 %,2 %,,,1333 rpm,,5 %,,,,,,10 m
,,,,,,33 °C,2 %,2 %,,,1278 rpm,,5 %,,,,,,10 m
,,,,,,33 °C,2 %,2 %,,,1244 rpm,,5 %,,,,,,10 m
,,,,,,33 °C,2 %,2 %,,,1221 rpm,,5 %,,,,,,10 m
,,,,,,33 °C,2 %,2 %,,,1208 rpm,,5 %,,,,,,10 m
,,,,,,33 °C,2 %,2 %,,,1180 rpm,,5 %,,,,,,10 m
,,,,,,33 °C,2 %,2 %,,,1148 rpm,,5 %,,,,,,10 m
,,,,,,33 °C,2 %,2 %,,,1122 rpm,,4 %,,,,,,10 m
,,,,,,33 °C,0 %,2 %,,,1099 rpm,,4 %,,,,,,10 m
,,,,,,33 °C,0 %,2 %,,,1071 rpm,,4 %,,,,,,10 m
,,,,,,33 °C,-1 %,2 %,,,1046 rpm,,4 %,,,,,,10 m
,,,,,,33 °C,-2 %,2 %,,,1028 rpm,,4 %,,,,,,10 m
,,,,,,33 °C,-2 %,2 %,,,1011 rpm,,4 %,,,,,,10 m
,,,,,,33 °C,-2 %,2 %,,,979 rpm,,4 %,,,,,,10 m
,,,,,,33 °C,-2 %,2 %,,,967 rpm,,4 %,,,,,,10 m
,,,,,,33 °C,-3 %,2 %,,,942 rpm,,4 %,,,,,,10 m
,,,,,,33 °C,-2 %,2 %,,,938 rpm,,4 %,,,,,,10 m
,,,,,,33 °C,-1 %,2 %,,,927 rpm,,4 %,,,,,,10 m
,,,,,,33 °C,0 %,2 %,,,919 rpm,,4 %,,,,,,10 m
,,,,,,33 °C,0 %,2 %,,,923 rpm,,4 %,,,,,,10 m
,,,,,,33 °C,1 %,2 %,,,916 rpm,,4 %,,,,,,10 m
,,,,,,33 °C,1 %,2 %,,,909 rpm,,4 %,,,,,,10 m
,,,,,,33 °C,1 %,2 %,,,905 rpm,,4 %,,,,,,10 m
,,,,,,33 °C,2 %,2 %,,,899 rpm,,4 %,,,,,,10 m
,,,,,,33 °C,2 %,2 %,,,886 rpm,,4 %,,,,,,10 m
,,,,,,33 °C,2 %,2 %,,,884 rpm,,4 %,,,,,,10 m
,,,,,,33 °C,2 %,2 %,,,883 rpm,,4 %,,,,,,10 m
,,,,,,33 °C,3 %,2 %,,,872 rpm,,4 %,,,,,,10 m
,,,,,,33 °C,3 %,2 %,,,878 rpm,,4 %,,,,,,10 m
,,,,,,33 °C,4 %,2 %,,,875 rpm,,4 %,,,,,,10 m
,,,,,,33 °C,4 %,2 %,,,883 rpm,,4 %,,,,,,10 m
,,,,,,33 °C,4 %,2 %,,,874 rpm,,4 %,,,,,,10 m
,,,,,,33 °C,5 %,2 %,,,874 rpm,,4 %,,,,,,10 m
,,,,,,33 °C,5 %,2 %,,,880 rpm,,4 %,,,,,,10 m
,,,,,,33 °C,5 %,2 %,,,883 rpm,,4 %,,,,,,10 m
,,,,,,33 °C,5 %,2 %,,,869 rpm,,4 %,,,,,,10 m
,,,,,,33 °C,6 %,2 %,,,878 rpm,,4 %,,,,,,10 m
,,,,,,33 °C,6 %,2 %,,,878 rpm,,4 %,,,,,,10 m
,,,,,,33 °C,6 %,2 %,,,876 rpm,,4 %,,,,,,10 m
,,,,,,33 °C,6 %,2 %,,,875 rpm,,4 %,,,,,,10 m
,,,,,,33 °C,6 %,2 %,,,872 rpm,,4 %,,,,,,10 m
,,,,,,33 °C,6 %,2 %,,,866 rpm,,4 %,,,,,,10 m
,,,,,,33 °C,6 %,2 %,,,875 rpm,,4 %,,,,,,10 m
,,,,,,33 °C,4 %,2 %,,,877 rpm,,4 %,,,,,,10 m
,,,,,,34 °C,4 %,2 %,,,873 rpm,,4 %,,,,,,10 m
,,,,,,34 °C,4 %,2 %,,,872 rpm,,4 %,,,,,,10 m
,,,,,,34 °C,3 %,2 %,,,873 rpm,,4 %,,,,,,10 m
,,,,,,34 °C,3 %,2 %,,,864 rpm,,4 %,,,,,,10 m
,,,,,,34 °C,5 %,2 %,,,865 rpm,,4 %,,,,,,10 m
,,,,,,34 °C,5 %,2 %,,,868 rpm,,4 %,,,,,,10 m
,,,,,,34 °C,5 %,2 %,,,860 rpm,,4 %,,,,,,10 m
,,,,,,34 °C,5 %,2 %,,,860 rpm,,4 %,,,,,,10 m
,,,,,,34 °C,5 %,2 %,,,858 rpm,,4 %,,,,,,10 m
,,,,,,34 °C,6 %,2 %,,,861 rpm,,4 %,,,,,,10 m
,,,,,,34 °C,6 %,2 %,,,863 rpm,,4 %,,,,,,10 m
,,,,,,34 °C,7 %,2 %,,,862 rpm,,4 %,,,,,,10 m
,,,,,,34 °C,7 %,2 %,,,869 rpm,,4 %,,,,,,10 m
,,,,,,34 °C,7 %,2 %,,,859 rpm,,4 %,,,,,,10 m
,,,,,,34 °C,7 %,2 %,,,884 rpm,,5 %,,,,,,10 m
,,,,,,34 °C,7 %,2 %,,,1018 rpm,,7 %,,,,,,10 m
,,,,,,34 °C,5 %,2 %,,,1265 rpm,,6 %,,,,,,10 m
,,,,,,34 °C,4 %,2 %,,,1215 rpm,,4 %,,,,,,10 m
,,,,,,34 °C,6 %,2 %,,,1174 rpm,,4 %,,,,,,10 m
,,,,,,34 °C,6 %,2 %,,,1150 rpm,,4 %,,,,,,10 m
,,,,,,34 °C,6 %,2 %,,,1115 rpm,,4 %,,,,,,10 m
,,,,,,34 °C,6 %,2 %,,,1077 rpm,,4 %,,,,,,10 m
,,,,,,35 °C,6 %,2 %,,,1055 rpm,,4 %,,,,,,10 m
,,,,,,35 °C,6 %,2 %,,,1027 rpm,,4 %,,,,,,10 m
,,,,,,35 °C,6 %,2 %,,,1007 rpm,,4 %,,,,,,10 m
,,,,,,35 °C,4 %,2 %,,,983 rpm,,4 %,,,,,,10 m
,,,,,,35 °C,4 %,2 %,,,959 rpm,,4 %,,,,,,10 m
,,,,,,35 °C,3 %,2 %,,,939 rpm,,4 %,,,,,,10 m
,,,,,,35 °C,3 %,2 %,,,918 rpm,,4 %,,,,,,10 m
,,,,,,35 °C,2 %,2 %,,,899 rpm,,4 %,,,,,,10 m
,,,,,,35 °C,2 %,2 %,,,884 rpm,,4 %,,,,,,10 m
,,,,,,35 °C,2 %,2 %,,,876 rpm,,4 %,,,,,,10 m
,,,,,,35 °C,4 %,2 %,,,867 rpm,,4 %,,,,,,10 m
,,,,,,35 °C,4 %,2 %,,,862 rpm,,4 %,,,,,,10 m
,,,,,,35 °C,5 %,2 %,,,862 rpm,,4 %,,,,,,10 m
,,,,,,35 °C,5 %,2 %,,,863 rpm,,4 %,,,,,,10 m
,,,,,,35 °C,5 %,2 %,,,864 rpm,,4 %,,,,,,10 m
,,,,,,35 °C,5 %,2 %,,,868 rpm,,4 %,,,,,,10 m
,,,,,,35 °C,5 %,2 %,,,862 rpm,,4 %,,,,,,10 m
,,,,,,35 °C,6 %,2 %,,,865 rpm,,4 %,,,,,,10 m
,,,,,,35 °C,6 %,2 %,,,857 rpm,,4 %,,,,,,10 m
,,,,,,35 °C,7 %,2 %,,,849 rpm,,4 %,,,,,,10 m
,,,,,,35 °C,7 %,2 %,,,850 rpm,,3 %,,,,,,10 m
,,,,,,35 °C,7 %,2 %,,,850 rpm,,4 %,,,,,,10 m
,,,,,,35 °C,7 %,2 %,,,860 rpm,,4 %,,,,,,10 m
,,,,,,35 °C,7 %,2 %,,,851 rpm,,4 %,,,,,,10 m
,,,,,,35 °C,7 %,2 %,,,856 rpm,,4 %,,,,,,10 m
,,,,,,35 °C,7 %,2 %,,,857 rpm,,4 %,,,,,,10 m
,,,,,,35 °C,5 %,2 %,,,874 rpm,,7 %,,,,,,10 m
,,,,,,35 °C,5 %,2 %,,,1057 rpm,,6 %,,,,,,10 m
,,,,,,35 °C,4 %,2 %,,,1326 rpm,,6 %,,,,,,10 m
,,,,,,36 °C,5 %,2 %,,,1594 rpm,,6 %,,,,,,10 m
,,,,,,36 °C,5 %,2 %,,,1779 rpm,,5 %,,,,,,10 m
,,,,,,36 °C,5 %,2 %,,,1692 rpm,,4 %,,,,,,10 m
,,,,,,36 °C,5 %,2 %,,,1577 rpm,,4 %,,,,,,10 m
,,,,,,36 °C,5 %,2 %,,,1486 rpm,,4 %,,,,,,10 m
,,,,,,36 °C,5 %,2 %,,,1400 rpm,,6 %,,,,,,10 m
,,,,,,36 °C,5 %,2 %,,,1398 rpm,,6 %,,,,,,10 m
,,,,,,36 °C,3 %,2 %,,,1483 rpm,,6 %,,,,,,10 m
,,,,,,36 °C,3 %,2 %,,,1583 rpm,,6 %,,,,,,10 m
,,,,,,36 °C,2 %,2 %,,,1665 rpm,,6 %,,,,,,10 m
,,,,,,36 °C,2 %,2 %,,,1720 rpm,,6 %,,,,,,10 m
,,,,,,36 °C,1 %,2 %,,,1754 rpm,,6 %,,,,,,10 m
,,,,,,36 °C,0 %,2 %,,,1764 rpm,,6 %,,,,,,10 m
,,,,,,36 °C,-1 %,2 %,,,1775 rpm,,6 %,,,,,,10 m
,,,,,,36 °C,-2 %,2 %,,,1777 rpm,,6 %,,,,,,10 m
,,,,,,36 °C,-2 %,2 %,,,1777 rpm,,6 %,,,,,,10 m
,,,,,,36 °C,-2 %,2 %,,,1771 rpm,,6 %,,,,,,10 m
,,,,,,36 °C,-3 %,2 %,,,1766 rpm,,6 %,,,,,,10 m
,,,,,,36 °C,-4 %,2 %,,,1655 rpm,,4 %,,,,,,10 m
,,,,,,36 °C,-2 %,2 %,,,1551 rpm,,4 %,,,,,,10 m
,,,,,,36 °C,-2 %,2 %,,,1456 rpm,,4 %,,,,,,10 m
,,,,,,36 °C,-2 %,2 %,,,1383 rpm,,4 %,,,,,,10 m
,,,,,,36 °C,-2 %,2 %,,,1310 rpm,,4 %,,,,,,10 m
,,,,,,36 °C,-2 %,2 %,,,1247 rpm,,4 %,,,,,,10 m
,,,,,,36 °C,-2 %,2 %,,,1196 rpm,,4 %,,,,,,10 m
,,,,,,36 °C,-2 %,2 %,,,1152 rpm,,4 %,,,,,,10 m
,,,,,,36 °C,-4 %,2 %,,,1117 rpm,,4 %,,,,,,10 m
,,,,,,36 °C,-4 %,2 %,,,1087 rpm,,4 %,,,,,,10 m
,,,,,,36 °C,-5 %,2 %,,,1058 rpm,,4 %,,,,,,10 m
,,,,,,36 °C,-2 %,2 %,,,1028 rpm,,4 %,,,,,,10 m
,,,,,,36 °C,-2 %,2 %,,,1002 rpm,,4 %,,,,,,10 m
,,,,,,36 °C,-2 %,2 %,,,978 rpm,,4 %,,,,,,10 m
,,,,,,36 °C,-2 %,2 %,,,949 rpm,,4 %,,,,,,10 m
,,,,,,36 °C,-1 %,2 %,,,921 rpm,,4 %,,,,,,10 m
,,,,,,36 °C,-1 %,2 %,,,911 rpm,,4 %,,,,,,10 m
,,,,,,36 °C,0 %,2 %,,,892 rpm,,4 %,,,,,,10 m
,,,,,,36 °C,0 %,2 %,,,878 rpm,,4 %,,,,,,10 m
,,,,,,36 °C,1 %,2 %,,,855 rpm,,4 %,,,,,,10 m
,,,,,,36 °C,1 %,2 %,,,853 rpm,,4 %,,,,,,10 m
,,,,,,36 °C,2 %,2 %,,,840 rpm,,4 %,,,,,,10 m
,,,,,,36 °C,2 %,2 %,,,857 rpm,,4 %,,,,,,10 m
,,,,,,36 °C,2 %,2 %,,,944 rpm,,6 %,,,,,,10 m
,,,,,,36 °C,3 %,2 %,,,1218 rpm,,8 %,,,,,,10 m
,,,,,,36 °C,4 %,2 %,,,1584 rpm,,9 %,,,,,,10 m
,,,,,,36 °C,5 %,2 %,,,2028 rpm,,10 %,,,,,,10 m
,,,,,,36 °C,5 %,2 %,,,2205 rpm,,4 %,,,,,,10 m
,,,,,,36 °C,6 %,2 %,,,2014 rpm,,4 %,,,,,,10 m
,,,,,,36 °C,6 %,2 %,,,1829 rpm,,4 %,,,,,,10 m
,,,,,,36 °C,6 %,2 %,,,1651 rpm,,4 %,,,,,,10 m
,,,,,,36 °C,6 %,2 %,,,1523 rpm,,4 %,,,,,,10 m
,,,,,,36 °C,6 %,2 %,,,1432 rpm,,5 %,,,,,,10 m
,,,,,,36 °C,6 %,2 %,,,1379 rpm,,5 %,,,,,,10 m
,,,,,,37 °C,5 %,2 %,,,1320 rpm,,5 %,,,,,,10 m
,,,,,,37 °C,4 %,2 %,,,1266 rpm,,5 %,,,,,,10 m
,,,,,,37 °C,3 %,2 %,,,1212 rpm,,4 %,,,,,,10 m
,,,,,,37 °C,3 %,2 %,,,1202 rpm,,4 %,,,,,,10 m
,,,,,,37 °C,2 %,2 %,,,1159 rpm,,4 %,,,,,,10 m
,,,,,,37 °C,2 %,2 %,,,1126 rpm,,4 %,,,,,,10 m
,,,,,,37 °C,2 %,2 %,,,1085 rpm,,4 %,,,,,,10 m
,,,,,,37 °C,1 %,2 %,,,1062 rpm,,4 %,,,,,,10 m
,,,,,,37 °C,1 %,2 %,,,1036 rpm,,4 %,,,,,,10 m
,,,,,,37 °C,0 %,2 %,,,1015 rpm,,4 %,,,,,,10 m
,,,,,,37 °C,0 %,2 %,,,994 rpm,,4 %,,,,,,10 m
,,,,,,37 °C,2 %,2 %,,,967 rpm,,4 %,,,,,,10 m
,,,,,,37 °C,2 %,2 %,,,954 rpm,,4 %,,,,,,10 m
,,,,,,37 °C,2 %,2 %,,,931 rpm,,4 %,,,,,,10 m
,,,,,,37 °C,2 %,2 %,,,910 rpm,,4 %,,,,,,10 m
,,,,,,37 °C,3 %,2 %,,,894 rpm,,4 %,,,,,,10 m
,,,,,,37 °C,4 %,2 %,,,889 rpm,,4 %,,,,,,10 m
,,,,,,37 °C,4 %,2 %,,,872 rpm,,4 %,,,,,,10 m
,,,,,,37 °C,5 %,2 %,,,858 rpm,,4 %,,,,,,10 m
,,,,,,37 °C,5 %,2 %,,,853 rpm,,4 %,,,,,,10 m
,,,,,,37 °C,5 %,2 %,,,851 rpm,,4 %,,,,,,10 m
,,,,,,37 °C,5 %,2 %,,,901 rpm,,5 %,,,,,,10 m
,,,,,,37 °C,5 %,2 %,,,1131 rpm,,7 %,,,,,,10 m
,,,,,,37 °C,6 %,2 %,,,1432 rpm,,7 %,,,,,,10 m
,,,,,,37 °C,6 %,2 %,,,1723 rpm,,7 %,,,,,,10 m
,,,,,,37 °C,6 %,2 %,,,1949 rpm,,7 %,,,,,,10 m
,,,,,,37 °C,3 %,2 %,,,2074 rpm,,7 %,,,,,,10 m
,,,,,,37 °C,2 %,2 %,,,2151 rpm,,7 %,,,,,,10 m
,,,,,,37 °C,2 %,2 %,,,2192 rpm,,7 %,,,,,,10 m
,,,,,,37 °C,1 %,2 %,,,2209 rpm,,7 %,,,,,,10 m
,,,,,,37 °C,0 %,2 %,,,2217 rpm,,7 %,,,,,,10 m
,,,,,,37 °C,-1 %,2 %,,,2020 rpm,,4 %,,,,,,10 m
,,,,,,37 °C,-2 %,2 %,,,1822 rpm,,4 %,,,,,,10 m
,,,,,,37 °C,-2 %,2 %,,,1619 rpm,,4 %,,,,,,10 m
,,,,,,37 °C,-2 %,2 %,,,1486 rpm,,4 %,,,,,,10 m
,,,,,,37 °C,-3 %,2 %,,,1435 rpm,,5 %,,,,,,10 m
,,,,,,37 °C,-3 %,2 %,,,1374 rpm,,5 %,,,,,,10 m
,,,,,,37 °C,-4 %,2 %,,,1308 rpm,,5 %,,,,,,10 m
,,,,,,37 °C,-2 %,2 %,,,1260 rpm,,5 %,,,,,,10 m
,,,,,,38 °C,-2 %,2 %,,,1201 rpm,,5 %,,,,,,10 m
,,,,,,38 °C,-2 %,2 %,,,1156 rpm,,4 %,,,,,,10 m
,,,,,,38 °C,-1 %,2 %,,,1127 rpm,,4 %,,,,,,10 m
,,,,,,38 °C,-1 %,2 %,,,1092 rpm,,4 %,,,,,,10 m
,,,,,,38 °C,0 %,2 %,,,1062 rpm,,4 %,,,,,,10 m
,,,,,,38 °C,1 %,2 %,,,1032 rpm,,4 %,,,,,,10 m
,,,,,,38 °C,1 %,2 %,,,1021 rpm,,4 %,,,,,,10 m
,,,,,,38 °C,2 %,2 %,,,998 rpm,,4 %,,,,,,10 m
,,,,,,38 °C,2 %,2 %,,,968 rpm,,4 %,,,,,,10 m
,,,,,,38 °C,2 %,2 %,,,957 rpm,,4 %,,,,,,10 m
,,,,,,38 °C,2 %,2 %,,,943 rpm,,4 %,,,,,,10 m
,,,,,,38 °C,3 %,2 %,,,919 rpm,,4 %,,,,,,10 m
,,,,,,38 °C,3 %,2 %,,,903 rpm,,4 %,,,,,,10 m
,,,,,,38 °C,4 %,2 %,,,880 rpm,,4 %,,,,,,10 m
,,,,,,38 °C,4 %,2 %,,,868 rpm,,4 %,,,,,,10 m
,,,,,,38 °C,5 %,2 %,,,850 rpm,,4 %,,,,,,10 m
,,,,,,38 °C,5 %,2 %,,,857 rpm,,4 %,,,,,,10 m
,,,,,,38 °C,5 %,2 %,,,845 rpm,,4 %,,,,,,10 m
,,,,,,38 °C,5 %,2 %,,,838 rpm,,4 %,,,,,,10 m
,,,,,,38 °C,6 %,2 %,,,840 rpm,,4 %,,,,,,10 m
,,,,,,38 °C,6 %,2 %,,,825 rpm,,4 %,,,,,,10 m
,,,,,,38 °C,7 %,2 %,,,835 rpm,,4 %,,,,,,10 m
,,,,,,38 °C,7 %,2 %,,,823 rpm,,3 %,,,,,,10 m
,,,,,,38 °C,8 %,2 %,,,821 rpm,,3 %,,,,,,10 m
,,,,,,38 °C,8 %,2 %,,,825 rpm,,4 %,,,,,,10 m
,,,,,,38 °C,8 %,2 %,,,819 rpm,,4 %,,,,,,10 m
,,,,,,38 °C,8 %,2 %,,,825 rpm,,4 %,,,,,,10 m
,,,,,,38 °C,8 %,2 %,,,818 rpm,,3 %,,,,,,10 m
,,,,,,39 °C,8 %,2 %,,,823 rpm,,3 %,,,,,,10 m
,,,,,,39 °C,8 %,2 %,,,822 rpm,,3 %,,,,,,10 m
,,,,,,39 °C,8 %,2 %,,,820 rpm,,3 %,,,,,,10 m
,,,,,,39 °C,5 %,2 %,,,813 rpm,,3 %,,,,,,10 m
,,,,,,39 °C,5 %,2 %,,,812 rpm,,3 %,,,,,,10 m
,,,,,,39 °C,5 %,2 %,,,801 rpm,,3 %,,,,,,10 m
,,,,,,39 °C,5 %,2 %,,,805 rpm,,3 %,,,,,,10 m
,,,,,,39 °C,5 %,2 %,,,805 rpm,,3 %,,,,,,10 m
,,,,,,39 °C,4 %,2 %,,,834 rpm,,3 %,,,,,,10 m
,,,,,,39 °C,4 %,2 %,,,886 rpm,,6 %,,,,,,10 m
,,,,,,39 °C,3 %,2 %,,,1110 rpm,,6 %,,,,,,10 m
,,,,,,39 °C,2 %,2 %,,,1369 rpm,,6 %,,,,,,10 m
,,,,,,39 °C,2 %,2 %,,,1591 rpm,,5 %,,,,,,10 m
,,,,,,39 °C,2 %,2 %,,,1722 rpm,,5 %,,,,,,10 m
,,,,,,39 °C,1 %,2 %,,,1784 rpm,,5 %,,,,,,10 m
,,,,,,39 °C,0 %,2 %,,,1681 rpm,,4 %,,,,,,10 m
